 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39
1,69.598,64.200,76.098,76.069,73.624,97.394,75.269,105.460,128.592,96.514,119.227,98.683,109.021,85.052,92.397,90.803,96.881,121.093,112.559,101.323,125.085,74.674,69.142,110.254,71.773,76.928,92.786,108.826,136.443,79.682,77.946,107.108,91.286,90.538,109.652,77.642,99.237,95.609,79.903
2,74.184,67.671,83.024,82.408,80.541,106.762,82.047,119.688,147.279,111.663,139.709,110.353,125.736,93.965,104.498,101.622,109.595,141.792,130.473,113.000,146.214,80.439,75.536,127.063,77.747,85.243,104.437,126.084,159.857,88.561,86.369,122.385,101.800,102.308,126.348,83.389,112.444,106.454,87.690
3,74.573,67.963,83.579,81.897,79.153,109.532,82.497,119.416,144.132,110.918,140.022,111.692,124.003,94.230,103.897,100.943,108.941,142.720,128.711,113.660,145.636,79.980,74.616,126.257,77.939,85.110,103.582,126.978,161.210,88.537,86.407,125.085,101.452,102.797,125.652,85.337,113.750,106.974,88.116
4,74.637,67.935,81.913,82.788,79.749,108.242,82.578,119.139,143.831,110.398,139.802,111.611,126.215,93.915,104.028,100.780,109.988,142.614,129.422,113.519,144.807,80.625,73.938,128.330,77.173,85.308,104.556,125.629,160.783,88.136,85.006,123.276,102.265,102.809,127.885,85.366,112.638,105.672,88.292
5,74.814,66.613,83.579,82.048,79.891,108.048,82.206,119.370,142.287,111.386,137.431,110.470,123.844,92.694,104.438,100.923,110.546,141.870,129.757,115.027,144.049,80.814,74.464,124.296,78.101,85.309,103.885,124.590,158.670,88.237,86.087,122.701,102.237,101.830,127.082,83.932,111.328,105.251,87.325
6,74.386,67.729,83.685,83.294,79.610,107.212,82.275,119.123,142.549,111.326,139.089,111.398,125.615,93.848,103.506,99.846,109.752,142.628,129.968,111.911,144.345,80.694,74.569,122.801,76.516,84.909,104.146,125.270,159.769,88.988,85.564,122.142,103.471,102.375,125.648,84.839,110.978,105.151,88.714
7,75.101,67.432,84.543,82.883,80.290,109.489,81.972,119.816,140.755,110.866,138.527,111.257,125.013,93.354,103.784,101.758,110.070,141.437,129.571,113.502,145.443,80.173,74.986,123.076,77.451,84.299,105.857,126.710,161.554,88.080,86.641,124.154,101.977,103.194,125.607,84.526,112.534,105.306,88.581
8,74.911,66.976,82.992,81.671,79.121,108.528,81.706,119.546,140.132,110.807,138.335,110.359,125.426,94.115,103.867,101.835,109.145,142.352,130.632,113.402,145.142,80.628,75.194,123.175,77.960,84.413,105.709,124.708,161.173,87.110,86.696,122.262,101.986,102.068,126.971,84.863,111.616,107.048,88.459
9,75.146,66.933,82.925,82.196,80.151,107.983,81.891,119.411,139.161,109.828,138.799,110.269,126.723,93.935,103.246,101.785,109.632,141.132,128.743,115.216,145.852,80.027,74.943,121.785,76.671,84.017,105.155,125.622,160.092,88.858,86.564,124.299,102.567,101.654,125.434,84.603,111.267,104.834,89.274
10,73.590,67.116,83.685,83.210,80.357,107.004,82.194,120.235,148.231,109.907,138.757,110.129,125.182,93.432,103.850,100.984,109.874,142.414,131.029,115.141,144.165,81.681,74.100,127.374,77.675,84.933,104.667,125.076,158.284,88.407,85.131,123.271,104.636,108.383,126.070,84.461,112.556,104.771,88.559
