 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38
1,34.731,35.090,39.190,30.341,41.690,38.573,48.430,28.829,31.421,36.197,33.940,32.384,30.173,36.716,26.025,45.093,31.216,46.756,33.431,30.972,29.551,45.903,34.302,35.625,30.882,29.811,30.402,32.060,33.573,29.118,43.487,35.770,35.021,29.372,35.922,32.003,34.717,27.998
2,41.853,42.490,48.877,35.016,52.622,48.126,62.690,32.703,36.750,44.415,40.530,37.884,34.877,45.228,28.578,58.501,36.089,60.438,39.813,36.401,34.120,59.160,41.043,43.726,35.639,34.343,35.056,38.053,40.089,33.471,55.597,43.012,42.681,33.541,43.227,37.448,42.004,31.344
3,42.120,42.507,49.280,34.842,52.650,48.445,63.219,32.706,36.697,44.270,40.558,38.079,35.016,44.583,28.461,58.599,36.097,59.800,40.164,36.356,34.246,58.750,41.078,43.277,35.910,34.176,35.021,37.874,39.868,33.100,54.964,43.324,42.263,33.590,43.400,37.795,41.951,31.313
4,42.236,42.534,49.483,35.010,52.827,48.460,62.193,32.647,36.613,44.353,40.527,38.120,35.160,44.672,28.454,58.902,35.864,59.608,40.107,36.215,33.891,59.286,40.974,43.375,35.673,34.360,34.985,37.969,40.112,33.255,55.618,42.983,42.664,33.475,43.703,37.664,42.007,31.099
5,42.054,42.572,48.602,34.789,52.529,48.181,62.763,32.947,36.748,44.389,40.659,37.819,35.239,44.722,28.400,57.738,36.266,59.491,40.052,35.880,34.149,58.877,41.293,43.196,35.741,34.186,35.157,38.148,40.280,33.392,55.256,43.210,42.906,33.413,43.396,37.389,42.015,31.349
6,42.347,42.605,49.114,35.020,52.662,48.462,62.641,32.773,37.254,44.367,40.634,38.167,35.325,44.592,28.598,59.252,35.695,59.143,39.772,36.423,34.576,58.947,41.009,43.611,36.003,34.359,35.210,38.006,39.818,33.253,55.241,43.146,42.215,33.505,43.327,37.733,42.142,31.576
7,42.149,42.463,49.005,35.108,52.277,48.186,62.773,32.459,36.850,44.400,40.685,38.037,35.284,44.959,28.342,59.147,36.125,59.452,39.756,36.113,34.083,58.809,41.487,43.231,36.302,34.323,34.985,37.829,40.006,33.446,55.474,43.017,43.091,33.663,43.437,37.461,42.056,31.336
8,42.004,42.602,49.109,34.913,52.403,48.239,63.047,32.720,36.921,44.415,40.612,37.942,35.263,44.494,28.345,58.877,36.161,58.892,39.852,36.292,34.322,59.200,40.974,43.342,36.125,34.297,34.989,38.021,40.188,33.316,55.362,44.064,43.844,33.556,43.442,37.803,42.155,31.377
9,42.276,42.534,49.493,34.716,52.819,48.208,62.651,32.611,36.660,44.407,40.748,37.676,35.086,44.689,28.370,58.450,35.947,58.903,39.891,36.317,34.199,58.928,41.384,43.190,36.240,34.355,35.156,37.998,39.764,33.292,55.279,42.939,43.363,33.275,43.302,37.851,42.343,31.249
10,42.147,42.346,49.687,35.154,52.558,48.204,62.935,32.784,36.895,44.630,40.401,38.097,35.169,44.716,28.445,58.542,36.008,58.751,40.046,36.426,34.257,58.861,41.022,43.372,35.960,34.334,34.986,37.825,40.060,33.440,55.818,43.160,43.065,33.521,43.586,37.760,41.777,31.119
11,41.944,42.485,49.512,34.903,52.681,48.423,62.750,32.863,36.594,44.426,40.691,38.294,35.325,44.219,28.272,58.771,35.632,58.636,39.758,36.482,34.319,59.075,41.280,43.829,35.866,34.104,35.109,37.860,40.075,33.052,55.636,43.487,43.558,33.450,44.032,37.619,41.914,31.309
12,42.220,42.725,48.967,34.864,52.602,48.704,62.727,32.717,36.658,44.372,40.763,37.898,35.272,44.467,28.454,58.923,35.881,58.514,39.816,36.285,34.127,58.870,41.341,43.370,35.785,34.387,35.107,37.609,40.141,33.328,55.805,42.767,43.218,33.494,43.856,37.035,41.805,31.139
13,42.017,42.460,49.607,34.732,52.715,48.396,63.122,32.745,36.679,44.458,40.959,37.778,35.173,44.175,28.422,58.722,35.856,58.749,39.759,36.261,34.442,58.855,40.991,43.622,35.452,34.161,34.988,38.047,39.921,33.068,55.369,43.184,43.404,33.379,43.760,37.523,42.202,31.236
14,42.347,42.526,49.820,34.742,52.889,48.511,63.297,33.092,36.932,44.573,40.972,37.970,35.214,44.607,28.422,58.560,35.892,57.652,39.713,36.370,33.938,58.938,41.384,43.380,36.174,34.420,35.126,37.809,40.054,33.426,55.421,43.160,43.991,33.672,43.535,37.285,41.843,31.219
15,42.519,42.779,48.711,34.838,52.546,48.341,62.784,32.675,36.801,44.344,40.634,38.097,34.914,44.408,28.559,58.589,36.166,57.786,39.706,36.370,34.159,58.842,41.504,43.152,35.913,34.369,34.938,37.928,39.907,33.463,55.821,43.006,43.209,33.587,43.629,37.789,42.208,31.391
16,42.061,42.616,49.090,35.010,52.752,48.312,62.971,32.588,36.509,44.436,40.666,37.933,34.588,44.583,28.557,58.468,35.953,58.558,39.822,36.472,34.170,58.800,40.892,43.351,35.773,33.971,34.953,37.986,39.899,33.159,55.174,43.087,43.649,33.415,43.460,37.589,42.024,31.325
17,42.323,42.529,49.905,35.008,52.535,48.533,62.945,32.566,36.671,44.564,40.653,37.692,35.416,44.550,28.265,58.445,35.440,58.415,40.207,35.880,34.130,58.910,40.866,43.370,35.978,34.254,35.053,37.988,40.099,33.373,55.964,43.047,42.873,33.610,43.162,37.723,42.228,31.430
