 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51
1,30.852,34.046,57.221,44.538,48.183,43.411,34.346,53.151,45.377,53.098,49.230,49.997,44.356,46.060,58.919,46.153,65.000,41.593,39.823,40.936,36.941,34.471,31.105,39.481,35.902,38.232,34.723,47.509,47.099,51.057,52.172,50.770,44.568,41.537,69.661,46.555,41.865,46.316,42.201,40.694,48.143,42.141,40.575,43.761,36.259,30.227,48.608,31.131,30.675,43.805,41.739
2,31.130,34.385,60.393,46.134,50.553,44.724,35.116,56.091,46.831,55.584,51.551,51.268,45.767,47.557,61.762,48.212,69.145,43.223,40.864,41.751,37.951,34.689,31.537,41.127,36.631,39.321,35.520,49.983,49.592,53.763,54.880,52.634,45.954,42.465,74.875,48.968,43.366,49.058,43.594,42.546,49.845,43.471,41.656,44.990,37.113,30.518,50.480,31.978,30.962,45.546,43.146
3,31.141,34.312,60.262,46.148,50.671,45.133,34.646,55.946,46.439,55.732,51.216,51.289,45.377,47.925,61.808,48.533,68.229,43.051,40.503,41.803,37.724,34.990,31.579,40.914,36.501,39.228,35.565,50.031,49.120,53.402,55.109,52.848,46.285,42.312,75.193,48.964,43.361,48.812,44.006,42.515,49.509,43.425,41.313,45.152,36.876,30.373,50.627,32.034,31.130,45.117,42.706
4,31.406,34.232,60.355,46.288,50.139,44.457,34.938,55.560,46.470,55.841,50.901,51.168,45.438,47.345,60.883,48.285,68.613,42.921,40.276,41.128,37.824,34.840,31.654,41.177,36.842,39.383,35.676,49.562,49.495,53.814,54.306,52.340,45.878,42.373,74.398,48.932,42.971,49.123,43.883,42.456,49.820,43.235,42.171,44.942,37.103,30.550,50.520,32.070,31.026,45.340,43.034
5,31.126,34.151,60.150,46.226,50.229,44.781,35.238,56.396,46.748,55.232,50.831,51.268,45.680,47.341,59.478,48.045,68.061,43.044,40.929,41.503,37.687,35.032,31.404,41.301,36.575,39.367,35.526,49.594,49.567,53.498,54.735,52.352,45.584,42.322,74.335,48.838,43.171,48.295,43.684,42.382,49.579,43.066,41.925,44.919,37.161,30.226,50.900,31.739,31.130,45.706,42.807
6,31.244,34.424,60.019,46.037,50.060,44.638,35.003,55.584,46.896,55.720,50.813,51.186,45.618,46.983,58.729,48.834,67.936,43.167,40.434,41.254,37.733,34.870,31.428,40.879,36.533,39.435,35.226,49.736,49.710,53.156,54.669,52.204,46.030,42.523,74.246,48.920,43.521,48.413,43.654,42.390,49.708,43.148,41.507,44.883,37.294,30.357,50.394,31.799,30.923,45.319,42.812
7,31.103,34.585,60.439,46.069,50.581,44.640,34.922,55.594,46.824,55.198,50.627,50.897,45.142,47.237,59.241,48.017,67.701,42.421,40.561,41.455,37.438,34.888,31.639,40.939,36.688,39.257,35.428,49.545,49.163,53.390,54.415,52.264,46.043,42.255,74.354,49.055,43.490,48.771,43.596,42.158,49.100,43.160,42.031,44.896,36.984,30.407,50.494,31.809,31.029,45.117,42.947
8,30.971,34.461,60.736,45.967,50.000,44.880,35.109,55.688,46.633,54.782,50.525,51.296,45.673,47.239,59.599,48.181,67.918,42.844,40.357,41.558,37.714,34.701,31.655,40.999,36.516,39.301,35.541,49.165,49.068,53.323,54.838,52.170,45.736,42.493,74.242,48.896,43.587,48.843,43.508,42.396,49.305,43.041,41.811,44.650,37.161,30.634,50.257,31.898,31.202,45.351,42.711
9,31.473,34.188,60.260,46.148,49.810,44.679,35.003,55.560,46.443,55.345,51.280,51.048,45.272,47.522,58.755,48.030,67.790,42.391,40.304,41.794,37.912,34.824,31.433,41.174,36.650,39.250,35.442,49.483,49.009,53.013,54.633,52.312,46.097,42.468,74.053,48.930,43.442,48.626,43.615,42.437,49.027,43.403,41.752,45.223,36.867,30.284,50.735,31.882,31.130,44.787,42.916
10,31.056,34.631,60.280,45.996,50.250,45.283,34.837,55.406,46.811,55.332,50.889,50.395,45.495,47.264,58.722,47.905,67.734,42.223,40.452,41.538,37.778,34.778,31.553,40.795,36.453,39.261,35.510,50.315,49.230,53.213,54.473,52.276,45.915,41.891,74.347,48.920,43.668,48.848,43.736,42.209,49.082,43.425,41.740,44.534,36.968,30.538,50.464,31.966,30.873,44.543,42.585
