 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35
1,24.364,24.442,23.984,38.739,24.506,23.674,23.877,29.518,28.518,29.604,25.747,27.389,24.666,22.913,24.725,27.643,25.869,26.037,51.952,127.864,51.973,39.009,39.600,28.400,29.739,32.053,24.513,25.467,27.351,24.768,23.786,22.708,26.164,26.436,24.562
2,24.247,24.153,24.016,38.408,24.443,23.724,23.791,29.400,28.496,29.575,25.832,27.098,24.588,23.056,24.672,27.667,25.841,26.022,52.151,126.188,51.950,39.175,39.680,28.502,29.853,31.482,24.694,25.455,27.260,24.686,23.592,22.729,26.188,26.594,24.493
3,24.175,24.215,24.005,38.598,24.362,23.620,23.870,29.246,28.321,29.628,25.876,26.963,24.596,23.026,24.687,27.473,25.911,25.924,52.317,125.482,51.624,38.891,39.754,28.436,29.547,31.404,24.631,25.425,27.277,24.679,23.580,22.600,26.369,26.559,24.423
4,24.060,24.049,23.991,38.638,24.437,23.609,23.779,29.247,28.463,29.768,25.733,26.538,24.532,22.851,24.735,27.560,25.821,25.573,51.871,124.825,51.190,39.009,39.799,28.453,29.543,31.263,24.638,25.485,27.324,24.682,23.503,22.785,26.300,26.597,24.529
5,24.219,24.144,24.140,38.446,24.419,23.666,23.827,29.199,28.624,29.402,25.577,26.525,24.461,22.882,24.722,27.466,25.918,25.822,52.173,124.325,51.285,38.683,39.551,28.418,29.592,31.409,24.718,25.263,27.228,24.641,23.407,22.694,26.326,26.605,24.478
6,24.126,24.394,23.840,38.316,24.372,23.591,23.678,29.232,28.531,29.645,25.747,26.434,24.481,22.956,24.548,27.439,25.893,26.105,52.144,123.553,50.593,38.826,39.780,28.342,29.339,31.371,24.682,25.567,27.274,24.690,23.231,22.806,26.216,26.410,24.520
7,24.070,24.215,23.979,38.257,24.424,23.648,23.646,29.065,28.423,29.795,25.833,26.105,24.427,22.962,24.440,27.433,25.807,26.014,52.060,122.506,50.469,38.847,39.466,28.622,29.584,31.018,24.687,25.319,27.145,24.713,23.313,22.640,26.258,26.642,24.551
8,24.071,24.104,23.835,37.979,24.325,23.501,23.705,29.041,28.335,29.571,25.681,26.137,24.531,22.946,24.545,27.567,25.970,25.869,51.775,121.780,50.429,38.866,39.710,28.489,29.518,31.088,24.667,25.559,27.203,24.706,23.198,22.552,26.357,26.562,24.434
9,23.972,24.157,23.793,38.147,24.421,23.710,23.618,28.895,28.321,29.468,25.832,26.067,24.505,22.931,24.426,27.489,25.854,25.902,52.481,120.604,49.980,38.500,39.597,28.551,29.388,30.707,24.655,25.599,27.230,24.543,23.177,22.715,26.237,26.465,24.608
10,24.024,24.176,23.906,38.204,24.435,23.592,23.491,29.021,28.424,29.289,25.842,26.014,24.519,22.836,24.251,27.598,25.909,25.941,51.724,120.134,49.748,38.470,39.655,28.431,29.388,30.846,24.589,25.523,27.117,24.668,23.070,22.598,26.394,26.494,24.321
11,24.003,24.146,23.787,37.728,24.466,23.448,23.657,28.991,28.440,29.499,25.504,25.975,24.494,22.926,24.372,27.595,25.781,25.983,51.974,121.723,49.744,38.438,40.140,28.573,29.392,30.538,24.420,25.579,27.171,24.601,23.109,22.577,26.507,26.393,24.352
12,24.236,24.273,23.645,38.155,24.276,23.612,23.693,29.135,28.499,29.615,25.446,25.961,24.553,22.931,24.599,27.681,25.897,25.859,51.629,129.086,49.622,38.379,40.085,29.538,31.314,31.407,24.723,25.553,27.380,24.532,23.377,22.721,26.430,26.548,24.542
13,23.931,24.076,23.695,38.027,24.356,23.440,23.747,28.877,28.289,29.647,25.869,26.268,24.660,22.882,24.684,27.393,25.785,25.942,51.674,137.689,49.810,38.536,39.799,31.907,33.437,31.402,24.809,25.431,27.647,24.579,23.641,22.631,26.272,26.585,24.434
14,23.978,24.171,23.818,37.981,24.397,23.592,23.692,28.749,28.185,29.469,25.737,26.252,24.549,22.810,24.503,27.518,25.713,25.886,51.907,137.024,49.610,38.326,39.792,30.898,32.592,31.230,24.909,25.401,27.620,24.637,23.920,22.783,26.291,26.498,24.608
15,24.028,24.167,23.657,38.075,24.506,23.502,23.566,28.765,28.411,29.621,25.695,26.380,24.668,22.792,24.412,27.453,25.858,25.764,51.910,138.860,49.824,38.379,39.782,30.084,31.616,31.657,24.634,25.721,27.794,24.777,23.648,22.433,26.392,26.733,24.544
16,24.067,24.130,23.814,37.960,24.410,23.539,23.589,28.856,28.289,29.358,25.880,26.180,24.424,22.918,24.562,27.515,25.817,25.746,51.688,139.405,49.175,37.858,39.754,30.147,31.608,31.472,24.655,25.449,27.505,24.568,23.552,22.773,26.502,26.461,24.436
17,24.003,24.206,23.691,37.803,24.506,23.547,23.574,28.769,28.370,29.448,25.722,26.168,24.459,22.818,24.441,27.473,25.928,25.832,52.121,135.789,49.027,38.487,39.472,29.449,31.131,31.707,24.665,25.465,27.647,24.641,23.405,22.633,26.540,26.472,24.509
18,23.901,24.139,23.755,37.949,24.318,23.502,23.622,28.787,28.405,29.677,25.787,26.140,24.429,23.095,24.349,27.448,25.986,25.883,51.607,134.255,48.903,38.251,39.597,29.898,30.878,31.816,24.603,25.671,27.514,24.588,23.490,22.660,26.319,26.327,24.699
19,24.058,24.236,23.775,38.080,24.376,23.489,23.542,28.680,28.241,29.592,25.665,25.921,24.494,22.787,24.469,27.485,25.875,25.853,51.722,132.606,48.596,37.898,39.619,29.378,31.049,31.558,24.640,25.601,27.498,24.452,23.391,22.527,26.317,26.570,24.513
20,24.059,24.139,23.712,37.812,24.393,23.551,23.451,28.569,28.252,29.516,25.556,25.748,24.558,22.754,24.547,27.504,25.886,25.917,51.463,131.005,48.848,37.991,39.583,28.964,30.857,31.955,24.540,25.309,27.392,24.599,23.315,22.635,26.406,26.513,24.361
