 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17
1,124.546,141.712,141.037,157.822,135.152,131.389,131.490,120.503,115.377,130.379,126.702,116.035,120.965,121.768,114.462,116.151,116.683
2,125.000,140.967,140.806,157.108,135.294,131.597,132.085,120.996,114.967,129.856,127.506,115.788,122.310,122.567,115.159,115.810,116.339
3,125.031,141.893,139.905,158.143,135.670,131.442,131.043,119.919,115.837,130.284,126.979,115.641,121.289,121.635,115.288,117.264,116.324
4,124.236,142.247,140.900,158.588,135.713,131.714,131.325,119.969,115.505,130.393,126.268,115.935,122.296,122.474,114.472,116.986,116.242
5,126.021,141.979,140.006,158.084,135.607,132.139,131.142,120.673,116.131,129.955,126.643,115.769,121.791,121.951,115.095,116.823,116.299
6,123.647,141.570,140.823,158.081,135.401,131.421,130.917,120.132,115.412,129.697,126.515,115.818,121.878,122.719,115.091,116.567,116.253
7,125.423,141.896,140.598,157.251,136.565,132.637,130.748,119.928,114.887,130.012,126.153,116.167,121.178,122.116,114.823,116.716,116.158
8,124.402,140.877,140.398,158.305,135.956,132.371,131.873,119.741,115.386,130.253,127.034,116.804,121.596,121.961,114.687,117.270,116.489
9,124.574,142.080,140.151,157.259,135.490,131.355,131.167,121.052,115.401,130.881,127.199,116.079,121.087,121.773,114.322,117.106,117.039
10,124.868,141.632,139.524,156.124,135.991,132.423,132.019,119.420,115.658,130.650,127.773,116.110,121.652,122.090,114.930,117.770,116.301
11,124.414,141.609,140.798,157.933,135.729,131.645,131.625,119.603,115.009,130.176,127.490,116.007,121.153,121.541,115.424,116.668,115.872
12,124.448,141.766,140.481,156.892,136.109,131.538,131.236,120.159,114.736,129.843,126.700,115.895,122.157,122.410,115.281,117.066,116.943
13,124.963,141.438,141.113,158.008,135.347,131.817,130.380,120.197,114.937,130.127,126.565,116.291,122.338,122.794,114.893,117.654,115.975
14,124.629,142.169,140.553,157.329,135.581,133.270,131.196,120.778,116.211,130.535,126.911,115.991,121.167,122.247,115.154,116.635,116.178
15,123.291,142.036,140.645,157.846,135.864,133.351,131.575,119.872,115.906,130.711,127.231,116.397,121.373,121.702,115.465,117.245,116.126
16,124.153,141.169,140.183,157.272,136.628,132.222,131.500,120.389,114.946,129.975,127.036,115.814,121.774,122.558,114.943,116.686,117.012
17,124.638,142.822,140.624,157.512,135.443,132.312,130.668,120.770,115.725,129.619,127.151,115.949,120.854,121.790,114.767,116.252,116.472
18,124.169,141.290,141.178,156.442,135.720,131.641,131.568,119.582,115.486,130.265,127.922,116.273,121.167,121.539,113.871,117.142,116.353
19,124.101,142.238,141.553,157.040,135.541,132.067,132.257,120.122,114.325,130.688,126.975,115.267,121.916,122.221,114.975,117.195,116.232
20,124.129,141.453,140.595,158.628,135.812,131.508,129.913,121.687,116.229,130.675,127.448,116.143,121.275,122.745,115.208,117.101,116.375
21,125.380,141.774,140.647,157.644,135.359,132.776,130.786,120.128,115.580,130.146,127.254,116.206,122.443,121.749,114.701,117.110,116.564
22,124.810,141.780,140.873,156.995,136.787,132.690,131.186,120.774,115.577,130.319,127.261,115.938,121.533,121.558,114.887,116.755,116.164
23,123.558,141.592,140.873,157.636,135.391,132.371,131.521,121.232,115.479,130.016,127.254,115.795,121.847,122.015,115.234,116.782,115.664
24,124.840,141.179,140.882,158.070,135.308,132.161,131.726,120.671,114.760,130.311,127.332,115.775,122.603,121.648,114.150,117.181,116.356
25,124.442,141.450,140.364,156.431,135.533,131.825,130.646,119.952,115.739,130.235,127.240,115.641,121.408,121.966,114.626,116.363,115.782
26,124.298,141.896,141.101,157.647,135.611,131.758,131.549,120.513,114.702,130.459,127.224,115.343,121.742,123.264,114.594,117.137,116.486
27,124.233,141.364,139.920,158.040,136.003,132.405,131.845,121.288,115.410,130.000,127.325,115.056,122.223,122.451,114.284,116.459,116.175
28,123.985,142.253,140.712,157.226,135.213,132.206,131.611,120.275,115.096,129.762,127.570,115.760,121.655,121.131,114.476,116.865,116.305
29,124.255,141.330,140.888,158.199,135.327,132.520,131.498,121.383,116.020,130.627,126.762,116.831,122.017,122.684,115.200,117.076,116.540
30,124.555,141.763,140.256,156.509,135.615,131.260,130.675,121.190,114.830,130.392,127.694,115.949,121.544,121.305,114.494,117.488,116.152
31,124.503,143.990,153.788,156.968,136.070,132.129,133.288,120.934,115.915,130.275,127.938,116.251,121.843,122.820,114.794,117.131,116.399
32,125.064,143.818,155.853,157.275,136.534,131.776,135.229,121.079,115.993,130.058,127.947,116.470,121.631,122.060,115.445,117.592,115.959
33,124.936,142.929,153.967,157.329,136.645,132.996,134.611,121.660,116.562,130.396,127.961,116.105,120.641,122.728,114.655,117.076,116.836
34,125.058,142.930,152.183,157.865,135.423,132.058,134.516,122.242,116.617,130.277,128.680,115.964,121.627,121.479,115.463,117.257,116.225
35,126.147,142.833,158.142,158.232,136.064,133.153,135.759,123.462,118.170,130.648,129.217,116.456,122.868,122.176,114.646,117.606,116.699
36,126.506,144.379,162.425,157.717,136.920,132.345,138.351,123.342,118.340,129.777,129.119,115.206,121.794,123.307,114.107,117.624,116.591
37,127.160,143.473,163.326,158.240,136.445,133.159,138.094,124.275,116.647,129.968,130.464,115.870,122.394,123.258,114.587,117.158,116.107
38,126.365,143.970,157.838,157.100,136.101,132.889,135.382,123.573,116.497,129.570,129.577,115.973,121.111,122.901,115.093,117.530,116.695
39,126.095,142.376,153.824,156.162,136.152,132.067,134.875,123.758,116.368,129.856,129.039,115.506,122.331,122.822,114.268,116.936,116.552
40,126.083,144.019,150.281,157.609,136.082,132.109,133.649,123.021,116.418,130.160,127.515,115.466,121.408,122.390,114.646,117.830,116.488
41,124.429,142.322,148.798,156.822,135.372,132.960,133.578,121.346,115.423,129.932,128.002,115.584,121.603,122.412,114.385,116.828,116.799
42,124.546,142.827,146.167,156.997,135.430,132.611,132.552,121.940,116.309,129.250,128.115,116.281,121.728,121.914,114.190,117.305,115.943
43,125.325,141.365,144.311,156.849,135.778,131.413,131.569,121.555,116.096,129.512,128.211,115.317,122.084,121.916,114.098,117.399,116.533
44,124.883,141.337,142.588,155.348,135.403,131.206,132.139,122.205,115.131,129.016,127.961,114.947,121.432,121.365,114.333,117.509,116.660
45,125.914,141.574,143.674,157.666,135.881,131.419,131.780,120.737,115.728,129.798,128.158,115.482,121.453,121.968,114.585,117.704,116.380
46,125.825,141.399,143.508,157.199,136.368,132.976,131.698,121.058,115.094,129.083,127.671,115.747,121.118,121.213,114.447,116.995,116.512
47,123.788,141.142,142.073,157.111,135.790,132.030,131.276,121.509,115.109,129.644,127.362,116.251,121.972,122.403,114.080,117.035,116.415
48,124.979,141.405,141.860,156.588,135.602,131.869,131.755,122.139,116.161,128.922,127.359,115.782,120.850,122.019,114.526,118.326,117.066
49,124.383,141.303,142.040,155.536,135.764,131.308,131.483,121.193,115.693,129.217,126.604,115.974,120.930,121.491,114.184,117.755,116.704
50,124.589,141.559,141.545,156.906,134.936,132.081,131.550,120.886,115.107,129.318,126.961,115.427,120.115,121.854,114.211,117.266,116.210
51,125.276,141.862,142.834,157.792,134.690,131.121,130.418,121.178,115.728,129.881,126.458,114.988,121.728,121.174,114.213,116.351,116.964
