 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26
1,89.218,91.109,89.700,90.872,84.973,138.145,109.766,94.389,95.054,115.773,103.988,103.981,115.473,92.756,89.094,103.977,101.689,88.546,83.186,88.514,92.926,84.590,81.940,94.354,95.992,101.113
2,89.310,92.287,89.288,91.026,84.972,135.097,108.826,93.924,94.556,115.815,102.481,103.624,115.051,92.985,89.262,104.538,101.948,88.602,83.985,88.967,93.817,84.201,81.858,94.683,96.025,100.911
3,89.055,91.789,89.993,90.525,84.983,134.912,108.890,93.935,95.351,114.903,103.712,102.649,114.722,92.845,89.007,103.984,100.999,88.447,83.335,89.074,93.819,84.135,81.887,94.803,95.894,101.598
4,88.692,91.512,89.714,91.222,85.566,133.362,107.731,94.227,95.551,113.171,103.080,102.877,115.089,92.949,88.417,103.377,100.270,88.577,83.985,89.392,93.777,84.211,82.421,94.642,95.657,101.226
5,89.236,91.493,89.592,90.820,84.709,132.129,108.313,93.606,95.114,112.863,103.248,102.861,114.612,93.652,87.756,103.110,101.771,89.067,83.718,89.398,92.800,84.711,82.250,94.636,95.219,101.320
6,88.887,90.995,90.076,91.283,85.077,131.345,107.467,94.255,95.437,111.986,100.689,103.410,115.704,92.916,88.799,103.740,99.756,87.897,83.311,89.261,92.385,84.188,82.553,94.543,96.236,100.570
7,88.300,92.569,89.387,90.078,84.943,130.495,106.713,93.873,94.674,110.327,102.550,102.720,114.444,92.373,88.763,104.009,98.492,87.535,83.592,89.050,93.145,83.969,82.430,94.478,95.659,100.367
8,88.889,92.180,89.273,91.263,85.138,130.566,105.905,94.347,94.912,110.282,100.590,102.985,115.120,93.140,88.717,103.644,97.290,88.213,83.052,88.894,93.527,84.116,81.716,95.001,95.903,101.471
9,88.749,91.680,89.130,91.345,85.542,128.309,105.997,95.331,95.129,110.050,101.521,102.254,115.477,92.188,88.234,103.621,97.871,87.781,83.198,88.551,94.368,84.787,82.024,94.757,95.803,101.175
10,89.040,91.559,90.012,90.852,84.750,128.031,105.186,93.463,94.959,109.713,101.033,102.024,114.465,93.860,88.230,103.030,96.646,87.640,82.840,88.833,92.850,84.162,82.158,95.478,95.869,100.881
11,88.724,91.509,89.126,90.623,85.098,126.722,104.641,94.542,94.512,109.050,99.969,102.635,114.157,92.624,88.749,103.607,95.607,88.248,84.098,89.692,93.572,84.140,82.363,94.132,95.404,101.153
12,88.506,91.424,89.251,91.339,85.237,125.561,104.457,94.942,95.444,108.552,99.521,102.786,114.819,93.005,87.766,103.016,95.405,86.879,83.017,89.073,93.451,84.476,81.440,94.418,95.618,101.664
13,88.702,91.870,90.066,91.918,85.317,123.393,104.581,93.803,94.931,108.517,99.512,103.061,115.108,92.269,88.326,103.802,94.987,88.541,83.549,89.120,93.743,84.535,82.156,94.723,95.657,100.701
14,88.364,91.296,89.467,91.385,84.728,121.940,102.578,94.097,94.809,108.128,99.387,101.420,115.303,92.137,88.445,102.738,95.290,87.940,83.592,89.424,92.259,84.176,82.228,94.683,95.285,100.736
15,88.865,91.313,89.641,90.840,85.265,122.302,103.924,93.412,95.938,107.417,99.804,102.526,115.465,92.147,88.644,102.970,94.737,88.087,83.575,88.572,93.416,84.962,81.947,94.162,94.983,100.818
16,88.752,91.303,89.136,90.377,84.941,122.700,103.098,94.250,94.600,107.635,98.540,102.528,115.715,91.921,88.803,102.389,94.409,86.944,83.851,89.127,93.029,83.804,82.372,94.753,95.233,101.035
17,88.033,91.076,89.827,91.236,84.978,120.166,103.224,94.701,95.049,107.656,99.203,102.482,115.054,91.799,87.946,101.956,94.003,87.626,83.768,88.719,93.024,84.540,82.022,95.314,94.951,101.642
18,88.433,91.415,90.218,90.762,85.126,119.639,102.209,95.234,93.959,107.043,97.675,102.348,115.670,92.637,88.293,102.621,94.624,87.852,83.225,88.328,93.230,84.084,82.217,94.300,95.809,100.869
19,88.525,91.403,89.016,90.303,85.063,118.183,101.505,94.231,95.175,107.171,97.649,102.089,115.908,92.982,88.016,102.575,93.855,87.394,83.060,88.819,93.767,84.356,82.048,94.915,95.493,101.031
20,89.385,90.758,89.194,90.242,85.095,117.712,102.941,94.294,94.718,106.140,98.061,102.990,115.363,92.416,88.103,102.062,93.868,86.837,83.220,88.849,92.912,84.301,82.252,94.660,95.649,100.709
