 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28
1,18.787,18.324,17.944,20.428,22.354,19.460,21.305,20.445,21.862,20.287,20.628,21.814,22.915,20.890,21.281,23.543,19.561,20.994,21.736,19.898,19.560,20.186,19.691,19.533,18.897,17.784,17.661,18.761
2,18.649,18.245,17.847,20.373,22.823,19.483,21.196,20.352,21.801,20.135,20.584,21.967,22.861,21.170,21.252,23.661,19.572,20.926,21.661,19.962,19.490,20.268,19.548,19.582,18.835,17.787,17.493,18.801
3,18.588,18.322,17.836,20.466,22.652,19.458,21.159,20.480,21.848,20.025,20.560,21.874,22.759,21.010,21.366,23.616,19.570,20.862,21.778,19.894,19.511,20.120,19.661,19.652,18.883,17.704,17.469,18.641
4,18.666,18.270,17.752,20.509,22.411,19.435,21.270,20.399,21.809,20.249,20.785,22.020,23.036,21.009,21.335,23.475,19.648,20.809,21.709,19.792,19.408,20.161,19.723,19.555,18.623,17.726,17.546,18.685
5,18.604,18.303,17.896,20.408,22.642,19.410,21.332,20.574,21.630,20.127,20.490,21.868,22.955,21.024,21.347,23.682,19.689,21.053,21.705,19.944,19.431,20.237,19.613,19.647,18.749,17.808,17.595,18.669
6,18.667,18.214,17.853,20.423,22.532,19.422,21.214,20.629,21.736,20.065,20.637,21.793,22.838,20.952,21.440,23.532,19.549,20.970,21.686,19.858,19.440,20.238,19.627,19.637,18.757,17.774,17.499,18.572
7,18.612,18.199,17.803,20.612,22.487,19.544,21.283,20.583,21.658,20.142,20.678,21.864,22.949,20.937,21.277,23.541,19.547,20.905,21.774,19.846,19.478,20.210,19.693,19.537,18.811,17.671,17.479,18.724
8,18.667,18.282,18.039,20.446,22.655,19.435,21.391,20.646,21.775,19.668,20.593,21.871,22.694,20.937,21.351,23.520,19.757,20.802,21.846,19.923,19.372,20.127,19.712,19.524,18.777,17.829,17.575,18.714
9,18.606,18.269,17.807,20.413,22.630,19.412,21.192,20.437,21.838,19.800,20.619,21.942,22.752,21.046,21.514,23.532,19.542,21.134,21.822,19.923,19.468,20.230,19.780,19.571,18.806,17.740,17.643,18.725
10,18.690,18.370,17.834,20.464,22.690,19.580,21.241,20.627,21.714,19.938,20.652,21.964,22.957,21.003,21.360,23.425,19.668,21.388,21.767,19.917,19.455,20.258,19.726,19.587,18.790,17.775,17.518,18.750
11,18.942,18.333,17.882,20.444,22.709,19.474,21.380,20.484,21.684,20.282,20.702,21.819,22.989,21.246,21.440,23.512,19.865,21.828,21.816,19.919,19.466,20.101,19.653,19.626,18.821,17.757,17.616,18.801
12,19.560,18.473,17.901,21.017,22.440,19.621,21.239,20.731,21.738,20.681,20.643,21.801,23.468,21.484,21.574,23.745,19.929,23.153,21.912,19.721,19.531,20.416,19.829,19.793,18.871,17.734,17.562,18.786
