 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
1,232.328,209.696,169.895,127.866,206.035,169.800,182.629,177.449,210.347,193.258,135.563,183.718,152.445,229.941,168.470,149.847,158.572,139.849,149.895,140.971,137.719,150.411,105.979
2,230.842,209.471,163.157,128.505,201.357,163.805,174.496,172.731,206.753,190.901,135.271,182.662,150.621,229.757,172.063,148.013,160.027,139.505,149.814,139.804,135.870,151.543,104.498
3,229.328,204.735,154.090,128.457,194.982,160.307,173.529,168.070,202.765,181.787,134.471,183.277,148.820,223.347,171.632,142.146,158.897,138.795,145.512,138.351,136.045,148.151,100.225
4,227.931,203.464,152.483,129.517,191.671,158.962,171.041,161.139,201.915,174.720,135.878,180.927,148.227,219.128,170.810,140.383,157.382,140.105,146.255,133.044,130.408,145.413,99.401
5,226.596,203.357,148.304,127.764,182.489,153.435,170.282,158.012,198.667,175.139,135.805,181.073,143.512,218.543,171.083,138.737,157.863,140.584,146.929,132.167,130.633,145.544,98.979
6,225.421,200.802,144.337,128.592,178.457,152.108,166.003,155.747,197.139,168.769,132.417,181.057,144.197,213.312,168.989,141.042,155.451,141.726,147.075,132.163,129.323,149.328,100.585
7,224.634,200.341,142.193,126.701,175.958,151.390,162.535,157.996,194.595,168.898,128.595,184.424,144.652,210.724,168.509,140.851,159.027,142.763,144.535,130.321,127.906,145.600,95.862
8,232.120,210.179,152.222,143.194,186.541,164.968,175.666,168.665,209.474,178.566,149.371,196.924,154.903,219.142,182.604,155.123,174.238,155.855,157.743,142.147,140.063,160.465,110.491
9,233.631,209.743,153.061,139.146,185.226,164.097,172.588,170.663,206.817,176.702,140.585,195.889,155.206,219.884,184.051,151.448,177.426,156.406,158.783,141.816,139.089,156.678,106.792
10,228.230,205.451,151.988,137.258,184.214,164.253,171.468,165.116,203.241,170.305,144.507,194.389,156.493,216.288,184.359,147.565,173.692,155.911,161.235,138.525,136.147,158.611,107.408
11,230.750,204.906,152.613,142.704,180.152,165.668,166.607,164.376,203.316,171.501,147.317,199.466,152.749,211.772,183.702,153.396,171.612,155.513,156.614,138.944,138.074,158.471,105.315
12,230.061,204.114,150.280,139.248,177.293,165.366,170.819,165.506,198.738,167.576,145.585,197.634,151.159,219.071,183.037,146.130,175.331,154.693,159.320,137.053,134.922,158.700,104.052
13,227.104,202.179,149.711,138.444,174.849,166.899,165.866,163.930,200.570,167.561,147.244,197.445,149.062,214.507,184.327,144.974,175.365,154.761,157.600,136.577,134.796,163.283,103.076
14,229.288,203.841,145.573,139.481,173.344,163.884,165.198,165.157,197.954,165.194,144.839,200.805,155.720,212.039,183.470,147.370,171.616,154.166,156.730,139.195,137.480,160.615,102.806
15,225.442,200.120,149.594,140.527,169.329,162.182,165.977,165.082,193.121,157.970,145.351,197.517,151.953,210.608,184.543,147.968,173.335,157.752,157.156,137.207,134.159,159.903,103.298
16,228.875,199.487,149.987,139.476,171.354,162.875,161.772,160.945,193.595,163.968,146.173,198.273,151.964,210.632,182.427,143.279,171.646,154.169,158.477,134.268,131.583,161.331,102.322
17,227.534,196.065,148.352,142.701,172.704,162.931,162.817,161.513,193.827,159.963,145.449,196.204,151.773,210.863,181.179,145.468,171.639,152.449,157.555,135.841,134.146,159.478,101.073
18,228.085,197.140,149.870,138.534,168.958,161.076,164.083,161.424,188.667,160.811,146.090,194.740,152.616,209.386,181.551,143.292,172.057,155.389,157.798,133.892,132.494,156.965,103.834
19,227.766,194.539,147.555,135.932,170.038,164.762,162.212,161.684,193.586,156.409,144.193,197.355,150.801,212.092,185.795,142.909,172.580,155.710,157.155,137.829,134.436,159.778,99.824
20,227.073,192.562,147.477,138.332,167.078,162.659,162.885,165.182,192.285,156.434,147.227,199.059,154.938,208.015,185.216,143.052,170.414,155.799,156.328,132.765,130.668,158.178,100.592
