 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
1,73.823,73.712,62.516,78.014,61.443,58.609,59.742,64.721,77.903,71.373
2,74.244,73.851,63.361,77.449,62.118,59.466,60.058,65.604,79.070,70.052
3,74.189,73.832,63.847,77.544,62.529,58.644,60.349,66.306,78.783,70.076
4,75.246,73.177,62.971,77.798,62.325,58.605,60.829,66.404,80.131,69.570
5,75.136,73.674,63.894,77.586,61.829,58.438,61.399,66.052,79.855,69.305
6,75.303,74.086,64.798,78.193,62.375,58.794,61.995,66.139,80.004,68.068
7,75.140,74.489,64.406,77.866,62.894,58.235,61.661,67.492,80.086,68.627
8,75.168,74.491,65.031,77.052,61.748,58.292,61.561,67.454,78.875,68.703
9,74.844,74.749,65.512,77.581,62.650,58.719,61.692,67.311,78.831,68.996
10,75.437,75.281,65.745,76.854,62.678,58.783,61.495,67.664,78.943,68.329
11,75.368,75.541,65.688,76.089,63.856,58.641,61.596,67.650,78.489,68.213
12,75.356,75.981,65.986,76.151,63.363,58.520,61.649,67.522,78.581,67.835
13,75.956,75.998,65.712,76.346,63.625,58.448,61.543,67.809,78.573,67.434
14,75.844,76.063,66.510,76.711,63.700,59.463,61.368,68.549,78.496,68.574
15,76.308,76.735,65.990,75.722,64.224,58.982,62.005,68.637,78.464,67.968
16,76.133,75.903,66.335,75.108,64.642,59.025,61.613,68.117,78.100,67.811
17,75.862,76.536,65.922,74.640,64.234,59.477,60.955,69.301,78.020,68.249
18,75.802,77.055,66.590,74.235,65.768,60.598,60.798,68.664,77.308,67.233
19,75.880,76.942,66.267,74.129,66.010,61.520,60.434,69.623,76.614,67.932
20,74.915,77.063,65.059,74.122,65.184,61.619,60.131,68.948,76.663,67.622
21,74.439,76.657,65.655,73.614,65.552,62.278,60.313,68.128,76.819,67.185
22,74.841,75.991,65.169,73.704,65.290,62.747,60.353,68.456,77.055,67.273
23,75.255,76.160,64.665,73.511,65.645,62.306,59.871,68.869,76.625,67.948
24,75.878,76.320,65.176,73.562,65.015,62.167,60.477,68.019,76.361,66.301
25,75.416,75.013,64.308,72.828,64.617,62.060,59.982,67.844,76.341,66.586
26,73.533,73.824,63.671,73.061,63.380,61.680,59.159,66.962,76.302,66.667
27,72.703,72.782,63.763,72.696,62.872,60.352,59.500,66.500,76.210,66.980
28,71.078,72.296,62.759,71.369,61.380,59.317,59.126,65.046,75.760,66.181
29,70.623,71.398,62.880,71.169,61.081,58.477,58.722,65.210,75.468,66.321
30,69.315,70.893,62.690,71.235,60.285,57.847,58.725,64.858,75.343,65.787
31,68.607,70.942,62.637,70.941,60.985,57.730,58.525,64.530,75.705,65.727
32,68.595,71.132,62.667,70.614,60.773,57.448,58.323,64.112,75.104,65.064
33,67.402,70.361,62.645,70.134,60.559,57.242,58.343,63.809,75.147,64.992
34,67.841,70.227,62.729,70.233,60.723,57.623,58.224,64.287,74.983,64.996
35,68.474,70.387,62.678,70.049,60.486,57.794,58.526,63.366,74.870,65.622
36,67.074,70.418,62.755,70.035,60.657,57.680,58.368,63.656,75.479,65.169
37,68.513,70.472,63.110,69.816,60.189,58.085,58.126,64.085,75.177,65.060
38,68.428,70.442,62.773,70.000,60.207,57.313,58.272,64.358,75.009,65.189
39,68.453,70.202,62.678,70.614,60.819,57.733,58.440,64.399,75.242,65.811
40,68.244,70.006,62.835,69.536,60.514,57.473,58.556,64.292,75.196,64.827
41,68.536,70.271,62.529,70.386,60.877,57.559,58.634,64.036,75.092,65.032
42,68.163,70.317,62.971,69.868,60.035,57.932,58.373,64.030,74.836,65.594
43,69.039,70.009,63.337,69.158,60.534,57.936,58.247,64.041,74.969,64.964
44,67.487,69.527,62.551,70.195,59.610,57.214,58.060,64.885,74.850,64.112
45,68.280,70.478,62.918,69.518,61.118,58.036,58.022,65.041,75.207,65.301
46,68.032,69.893,62.984,69.762,60.665,57.769,57.526,64.437,75.496,65.157
47,68.361,70.006,62.561,69.744,60.889,58.327,58.399,64.268,75.110,65.084
48,68.646,69.514,63.035,69.595,60.086,58.053,58.205,64.273,74.501,65.072
49,67.940,70.448,62.729,69.995,60.680,57.829,58.056,64.036,74.948,64.988
50,68.198,69.719,63.202,69.967,60.038,57.370,57.988,64.615,74.999,64.695
51,68.384,69.909,62.406,69.678,60.945,56.932,58.202,63.762,74.901,64.859
52,67.846,70.254,62.671,70.167,60.322,57.441,57.619,64.301,74.669,65.474
53,67.674,69.712,62.349,69.228,60.650,57.527,58.002,64.186,75.186,65.016
54,67.474,69.578,62.853,70.261,60.456,57.256,57.922,63.801,75.463,65.325
55,67.694,69.813,61.873,69.591,60.892,57.473,58.356,64.000,75.474,65.522
56,66.777,69.434,62.971,69.946,60.413,57.470,58.113,64.413,74.782,64.687
57,73.651,73.016,62.559,72.301,62.610,58.374,59.646,65.511,75.675,66.181
58,67.887,69.152,62.384,69.198,59.955,57.438,57.964,63.372,75.184,64.703
59,67.545,69.589,61.900,69.586,60.446,57.064,58.230,64.811,74.855,64.112
60,67.080,69.834,62.512,68.896,60.222,57.295,58.570,64.158,75.322,64.847
61,67.076,70.110,62.843,69.252,59.942,57.367,57.988,64.251,74.482,64.434
62,67.669,69.770,62.353,70.195,60.683,57.448,58.242,63.563,75.036,64.578
63,67.032,69.442,62.463,68.932,60.892,56.996,57.983,64.888,74.938,64.538
64,72.936,73.224,62.829,72.748,62.186,58.680,59.465,64.650,75.738,66.984
65,66.906,69.528,62.700,69.631,60.141,57.224,58.171,64.016,74.690,64.888
66,72.129,73.238,62.859,71.984,62.088,58.135,59.732,65.552,76.120,66.647
67,67.393,69.129,62.929,69.292,60.443,57.865,57.825,63.639,74.950,64.699
68,67.710,69.429,63.020,69.569,59.839,57.281,57.714,63.784,74.749,64.185
69,72.508,73.569,62.500,72.181,62.123,58.815,60.263,65.227,76.174,66.663
70,71.407,73.019,63.188,72.174,62.244,58.950,60.392,65.005,75.772,67.353
71,66.533,69.298,62.484,69.360,60.375,56.562,57.753,63.429,74.034,64.329
72,73.257,73.592,63.357,72.734,62.267,57.722,59.502,65.735,75.242,65.904
73,66.605,69.147,63.122,69.165,59.990,57.267,58.096,63.555,74.798,64.133
74,66.563,68.873,62.980,69.741,60.270,57.409,58.228,63.519,74.411,63.570
75,71.837,73.056,62.967,71.193,62.139,58.559,60.233,65.525,75.744,65.996
76,66.860,69.041,62.545,69.459,59.912,57.335,57.796,64.044,74.591,64.430
77,67.057,69.774,62.496,69.358,59.952,56.915,57.765,64.131,74.727,64.040
78,71.722,72.420,63.135,72.087,62.756,58.811,59.497,65.585,75.654,66.406
79,66.515,68.920,62.298,69.254,59.632,57.363,57.646,63.631,73.973,63.663
80,71.457,73.147,62.896,71.911,62.327,58.178,59.906,65.407,75.678,65.863
81,66.894,69.439,62.947,69.031,60.015,56.808,58.452,63.970,74.881,64.185
82,71.170,73.245,62.920,71.541,62.640,58.790,59.780,65.478,75.283,65.876
83,67.253,68.745,62.618,68.941,60.491,57.605,57.556,63.678,74.416,65.072
84,73.451,73.235,62.700,71.769,62.491,58.786,59.591,64.779,75.476,65.161
85,72.294,73.265,63.176,71.734,62.096,58.754,60.199,65.317,75.372,66.526
86,66.501,69.122,62.155,67.598,60.229,56.861,57.765,64.011,74.854,63.365
87,72.591,72.829,63.076,72.106,61.554,58.185,60.089,65.374,75.601,66.048
88,72.051,73.309,63.139,71.696,62.146,58.658,59.611,65.066,75.424,66.076
89,72.117,73.014,62.747,72.108,62.582,58.231,59.656,65.251,75.775,66.341
90,72.478,73.682,63.055,71.054,62.788,58.512,59.619,65.642,75.096,66.566
91,72.517,72.995,63.031,71.962,62.229,59.164,59.687,64.874,75.396,66.369
92,65.680,68.915,61.931,68.235,59.728,57.445,58.341,63.396,74.333,63.466
93,73.476,73.323,63.161,72.221,62.144,58.050,59.689,65.243,75.067,65.851
94,72.759,73.624,62.910,71.106,62.224,58.754,59.868,65.418,75.563,65.984
95,73.336,73.638,62.782,72.722,62.373,58.772,59.497,65.754,75.207,66.008
96,66.299,69.107,62.955,68.508,59.539,57.402,57.672,63.478,74.192,63.518
97,72.634,73.346,62.641,71.631,62.038,58.395,59.464,65.372,75.200,65.803
98,71.986,73.089,63.127,71.955,61.927,58.819,59.550,64.784,75.667,65.494
99,73.913,73.282,63.227,72.628,61.758,59.231,59.495,65.104,75.513,65.418
100,65.623,68.798,61.922,68.016,59.821,56.651,57.712,63.582,74.046,63.205
101,73.051,72.782,62.961,71.668,62.131,58.886,59.652,65.202,75.459,66.494
102,72.120,73.282,63.022,71.809,62.247,58.445,59.492,65.038,75.508,65.976
103,72.671,73.061,62.849,72.122,61.678,58.125,60.118,65.383,75.386,65.972
104,73.720,72.649,62.420,71.948,61.965,59.302,59.565,65.191,74.976,65.976
105,72.126,73.375,62.865,72.781,61.650,58.317,59.934,65.484,75.594,65.896
106,71.646,72.569,62.824,72.049,62.126,58.441,59.950,65.475,74.885,65.631
107,72.251,72.701,63.347,72.179,62.489,57.730,59.478,65.232,75.237,66.759
108,71.887,72.218,62.414,71.729,62.020,58.911,59.425,65.249,75.810,66.514
109,72.664,73.716,63.376,72.184,61.935,58.459,59.273,65.910,74.824,66.478
110,65.694,68.458,61.902,68.845,60.343,57.206,57.901,64.046,73.953,62.884
111,72.494,73.185,62.641,71.426,62.227,58.929,59.757,65.478,75.287,65.992
112,73.584,73.466,62.347,71.645,61.736,59.214,59.675,65.672,75.266,65.871
113,73.083,73.503,62.584,72.398,61.804,58.157,60.121,65.071,75.376,66.285
114,71.795,72.571,63.043,71.591,62.058,59.082,59.644,65.060,74.875,65.566
115,67.823,70.259,62.767,69.819,60.662,57.516,58.556,64.404,74.904,65.317
116,69.699,71.246,63.153,71.054,60.557,58.456,58.575,64.852,75.645,66.129
117,70.667,71.389,62.951,70.433,61.539,57.623,58.727,64.667,75.456,65.341
118,69.710,71.552,62.261,70.591,60.935,57.911,58.414,64.500,75.614,65.807
119,69.949,71.740,63.020,70.984,61.539,58.107,58.498,64.781,75.189,66.305
120,70.432,71.462,63.114,70.913,61.285,58.441,58.846,64.658,75.547,66.759
121,70.864,72.266,62.700,71.235,60.985,58.356,58.864,64.924,75.477,65.807
122,71.467,72.202,63.424,71.445,61.516,57.843,58.745,65.156,75.042,66.044
123,71.103,71.909,62.931,71.268,60.977,58.488,58.818,64.921,75.955,66.948
124,71.729,72.111,62.831,71.569,61.209,58.367,59.142,65.205,75.925,66.337
125,72.085,72.176,62.741,72.271,61.380,58.196,59.320,65.451,76.056,66.554
126,71.007,71.831,63.602,71.489,61.892,57.349,58.836,65.186,75.906,66.249
127,72.064,72.378,63.045,71.398,61.395,59.107,59.435,65.486,75.558,66.329
128,67.101,70.125,62.820,69.299,61.111,57.007,57.833,64.161,74.901,64.177
129,74.014,73.202,62.843,71.612,61.373,58.060,59.944,65.131,75.156,65.671
130,73.340,72.629,62.865,73.099,62.232,58.858,59.245,65.434,75.140,65.743
131,66.343,68.513,62.827,67.962,60.282,56.765,57.790,63.292,74.184,63.759
132,68.841,70.525,62.773,70.256,60.720,58.000,58.487,64.191,74.763,65.056
133,71.687,72.299,63.016,72.214,61.786,58.904,58.987,65.145,75.924,66.165
134,73.816,73.088,63.351,72.334,62.139,59.093,59.341,64.989,75.368,66.229
