 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37
1,83.847,123.847,106.707,98.380,80.285,109.245,113.993,96.240,84.799,90.739,100.568,119.451,94.048,74.274,78.227,89.260,86.092,76.221,66.472,71.210,63.766,80.930,72.601,70.912,69.933,71.628,66.681,63.819,64.969,71.565,69.295,67.932,63.733,70.473,66.941,63.181,68.629
2,84.329,123.391,106.753,99.140,80.358,112.072,114.419,95.776,84.969,90.513,99.838,119.358,94.324,74.201,77.849,89.352,86.084,75.838,66.794,70.875,64.006,80.321,72.674,71.081,69.627,72.159,67.141,64.181,65.181,72.495,69.546,67.638,63.380,71.160,67.153,63.190,68.367
3,84.061,124.026,105.998,98.384,80.886,108.705,113.945,97.321,85.197,90.883,100.153,119.714,94.926,74.519,78.214,89.704,85.640,75.199,67.223,70.621,63.785,80.814,72.870,70.265,70.196,71.350,66.657,63.939,65.043,72.949,69.124,67.234,63.841,70.521,66.867,63.159,68.837
4,84.640,124.224,106.794,96.469,81.557,105.150,114.732,97.098,85.746,90.938,99.488,119.282,94.073,74.243,77.930,90.000,86.118,77.062,67.179,71.413,63.940,80.417,72.500,69.920,69.920,71.222,66.528,63.992,64.939,70.529,69.038,66.444,63.733,70.978,66.714,63.088,68.819
5,84.166,124.611,106.664,98.078,82.475,102.360,113.773,96.587,84.850,91.204,99.989,119.688,94.296,74.286,77.728,89.311,85.928,76.699,66.784,70.729,63.775,80.537,72.389,69.998,69.662,71.050,67.028,63.508,65.183,71.363,69.793,67.316,63.346,70.178,67.204,63.265,69.032
6,83.863,122.646,106.188,98.694,79.595,101.327,113.102,95.967,84.404,91.025,100.450,119.766,93.646,74.354,77.836,90.053,85.533,75.088,66.701,71.225,63.835,80.686,72.457,70.931,69.707,71.562,67.051,64.103,65.126,71.613,69.580,67.630,63.283,70.317,67.017,62.984,68.344
7,84.639,124.063,106.393,97.442,80.108,106.056,113.266,95.530,85.204,90.598,99.812,118.911,95.080,74.401,78.176,90.063,85.421,75.746,67.262,70.465,63.692,81.175,72.073,71.152,69.782,70.901,67.282,64.076,65.142,72.535,69.060,67.331,64.085,70.666,66.724,63.229,68.638
8,84.769,122.766,105.499,98.019,81.146,103.913,114.280,96.641,85.015,90.790,100.187,119.179,94.216,74.529,78.448,89.449,85.750,75.298,67.189,71.117,63.919,80.432,72.397,70.653,69.773,70.904,66.921,62.916,65.108,70.982,69.562,67.785,63.788,70.481,66.908,63.755,67.652
9,84.019,124.259,105.891,98.050,80.161,100.245,113.244,96.856,85.499,90.328,100.455,119.097,94.453,73.936,78.070,89.638,85.532,75.757,67.389,71.202,63.688,80.716,72.141,71.160,70.080,71.439,66.928,64.162,64.705,72.048,69.096,68.232,63.800,69.905,66.869,63.388,69.606
10,84.190,122.619,105.377,98.240,80.180,98.199,114.392,96.326,86.037,90.661,100.180,119.340,94.198,74.137,78.408,89.233,86.400,75.500,66.565,71.188,63.746,81.461,72.011,70.193,70.658,71.424,67.185,63.443,64.212,71.420,69.255,67.664,63.270,70.565,66.925,63.803,68.276
