 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50
1,94.826,101.789,41.908,42.950,37.179,36.694,46.814,54.468,53.866,37.029,55.809,57.297,51.903,38.447,40.496,40.976,53.894,42.518,51.710,48.866,62.337,152.331,75.499,61.742,54.729,57.602,35.737,42.202,40.214,45.957,41.659,36.699,42.166,50.601,38.811,39.868,39.551,31.498,29.483,30.337,35.080,42.827,36.140,46.090,43.832,42.152,42.265,45.566,42.984,43.582
2,91.098,101.423,41.472,42.874,37.300,36.833,45.447,54.004,54.005,37.451,56.002,57.293,52.526,38.519,40.548,41.132,53.847,42.726,51.690,48.575,62.462,148.374,74.604,62.178,55.042,58.187,35.945,42.394,40.264,45.940,41.610,36.944,42.342,50.415,38.576,39.871,39.681,31.475,30.179,30.500,35.252,42.849,35.718,46.056,43.640,42.492,42.976,45.650,42.727,44.280
3,87.733,101.775,42.089,43.058,37.155,36.857,45.346,53.302,53.732,37.117,55.652,57.390,51.393,38.683,41.170,40.838,54.153,42.717,51.626,48.619,62.501,145.782,73.933,62.083,54.937,57.676,35.952,42.475,40.306,46.150,41.585,36.961,42.226,50.697,38.862,40.032,39.958,31.601,30.200,30.192,35.107,42.538,35.777,45.868,43.394,42.575,42.385,45.695,42.909,44.106
4,88.048,115.665,44.589,44.073,39.881,38.051,46.559,58.523,53.654,37.341,60.213,57.388,62.847,38.775,41.882,42.242,57.619,42.666,59.629,54.649,62.988,212.961,88.005,62.723,55.286,58.676,35.948,42.425,40.345,46.926,44.166,37.409,43.587,51.289,38.616,41.280,40.046,31.724,30.179,30.663,35.193,43.147,36.579,46.229,43.192,42.895,43.180,48.488,43.597,44.244
5,98.249,144.159,44.707,44.921,48.547,40.158,54.149,76.593,53.979,38.189,67.174,57.758,83.487,38.582,42.021,45.167,66.372,43.010,77.435,81.541,64.215,251.499,138.426,62.707,55.571,69.456,36.349,42.646,40.435,48.511,50.214,40.596,48.256,54.039,45.239,43.363,43.356,31.344,30.197,30.657,35.187,43.337,36.642,45.986,44.147,45.597,43.622,54.399,43.208,45.905
6,97.303,137.066,45.646,44.524,50.604,40.865,54.619,77.329,54.318,39.103,65.630,57.535,84.437,38.456,41.483,45.188,64.479,42.906,78.654,81.829,64.171,248.744,159.494,62.727,55.175,68.607,36.985,42.451,40.717,48.225,49.789,41.449,48.995,53.739,46.152,42.759,44.087,31.673,30.067,30.741,35.097,43.281,36.500,45.851,43.623,45.337,43.479,51.038,43.878,44.957
7,93.820,128.935,47.810,44.013,48.328,40.679,52.899,73.797,54.256,39.025,61.660,57.384,79.234,38.568,41.460,45.055,60.285,42.928,73.568,76.364,64.178,242.052,153.181,63.465,55.410,66.332,36.770,42.414,40.370,47.406,47.986,40.437,47.501,52.333,44.579,41.892,43.267,31.390,30.253,30.546,35.062,43.401,36.244,46.267,43.568,44.823,43.187,48.815,43.156,44.800
8,90.695,123.934,48.400,43.471,46.705,41.154,51.781,70.032,54.039,39.417,59.514,57.848,74.253,38.297,41.010,44.130,57.496,42.699,69.746,70.642,64.269,234.075,142.228,63.337,55.195,65.113,37.155,42.622,40.411,46.631,46.085,39.473,46.146,52.257,41.973,41.232,42.753,31.644,30.219,30.814,34.919,42.935,36.330,46.087,43.723,44.157,43.056,47.434,43.499,44.219
9,87.891,118.489,48.534,44.107,47.220,41.082,61.300,69.449,54.133,39.035,58.135,57.894,70.423,38.670,41.069,43.544,58.051,43.008,66.151,66.227,63.570,225.236,136.053,64.310,55.643,63.071,37.156,42.386,40.820,46.583,44.666,38.750,47.201,51.353,41.249,42.547,42.226,31.753,30.267,31.037,35.259,42.616,36.525,46.017,43.901,44.171,43.455,46.829,43.338,44.168
10,92.561,116.046,51.519,43.421,46.170,40.213,65.563,67.379,53.727,38.912,57.783,57.659,67.198,38.777,40.727,42.850,56.677,43.091,62.761,63.191,63.438,216.834,127.651,64.019,55.113,61.835,36.822,42.384,40.465,46.176,44.164,38.156,46.554,51.551,39.811,42.061,41.749,31.513,30.269,30.771,35.059,42.911,36.061,46.194,43.507,43.834,43.193,45.829,43.081,44.414
