 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21
1,35.143,29.496,29.181,27.973,28.037,28.462,28.921,27.345,28.102,24.342,22.234,21.251,21.150,21.609,22.578,25.316,25.891,23.833,25.728,24.269,20.296
2,35.080,29.286,29.297,28.101,28.189,28.233,28.797,27.306,28.240,24.392,22.186,21.340,20.999,21.599,22.689,25.215,25.915,23.630,25.740,24.300,20.192
3,35.167,29.321,29.117,27.926,27.975,28.046,28.741,27.337,27.982,24.466,22.086,21.270,21.004,21.602,22.555,25.239,25.939,23.767,25.821,24.087,20.127
4,35.146,29.308,29.149,28.025,27.754,28.113,28.630,27.381,27.979,24.392,22.196,21.390,21.059,21.637,22.548,25.583,25.960,23.716,25.919,24.118,19.996
5,35.001,29.427,29.414,27.928,27.933,27.926,28.540,27.320,28.254,24.280,22.136,21.274,21.055,21.584,22.573,25.370,25.972,23.723,25.587,24.322,20.066
6,35.265,29.272,29.391,28.005,28.092,27.850,28.582,27.331,27.770,24.430,22.200,21.201,21.076,21.631,22.667,25.261,26.007,23.608,25.702,24.142,20.135
7,35.374,29.517,29.275,27.877,27.839,27.938,28.376,27.241,27.728,24.328,22.084,21.251,20.976,21.691,22.630,25.354,25.993,23.618,25.821,24.069,20.208
8,35.238,29.363,29.155,27.968,27.655,27.769,28.373,27.299,27.968,24.488,21.990,21.185,20.993,21.701,22.619,25.316,25.798,23.750,25.911,24.100,20.115
9,35.055,29.292,29.297,27.970,27.737,27.949,28.386,27.180,28.025,24.397,22.110,21.124,21.000,21.716,22.673,25.574,25.911,23.733,25.574,24.018,20.108
10,35.129,29.360,29.223,28.121,27.911,27.915,28.357,27.342,27.806,24.347,21.876,21.359,21.019,21.698,22.593,25.396,25.969,23.605,25.749,24.467,20.118
11,35.258,29.441,29.202,27.941,28.045,27.633,28.251,27.416,27.965,24.405,22.317,21.398,21.094,21.661,22.565,25.513,25.953,23.613,25.600,24.287,20.172
12,34.983,29.335,29.241,28.072,27.978,27.933,28.137,27.213,28.018,24.385,22.240,21.259,21.036,21.679,22.578,25.495,25.974,23.605,25.966,24.091,20.022
13,35.008,29.109,29.035,27.936,27.903,27.767,28.427,27.233,27.763,24.391,22.130,21.247,21.097,21.641,22.537,25.581,25.925,23.708,25.655,24.071,19.955
14,34.915,29.539,29.131,28.131,28.352,27.603,28.172,27.356,27.816,24.351,22.208,21.413,21.059,21.554,22.680,25.502,25.877,23.681,25.668,24.187,20.122
15,35.094,29.180,29.076,27.852,28.164,27.645,28.295,27.421,27.781,24.342,22.154,21.263,20.968,21.645,22.642,25.447,25.786,23.625,25.732,24.047,20.065
16,35.260,29.466,29.279,28.072,27.814,27.572,28.127,27.277,28.035,24.393,22.126,21.224,21.010,21.673,22.609,25.270,25.883,23.743,25.728,24.187,20.075
17,35.020,29.278,29.132,27.896,27.725,27.708,28.105,27.289,27.894,24.249,22.248,21.340,21.020,21.662,22.673,25.519,25.869,23.598,25.511,24.227,20.197
18,34.882,29.190,29.266,27.768,27.608,27.604,28.182,27.246,27.883,24.510,22.140,21.181,21.076,21.633,22.598,25.353,25.895,23.701,25.843,24.176,20.124
19,38.303,32.569,36.112,39.163,33.293,40.776,41.062,27.481,32.074,28.794,24.140,23.884,23.712,22.917,23.216,26.148,26.667,25.777,28.183,27.122,20.731
20,41.201,35.104,39.114,43.849,36.829,46.735,48.259,27.774,37.456,32.792,24.525,25.239,25.589,24.118,23.550,26.321,27.581,27.027,28.260,27.251,21.458
21,39.540,33.046,36.783,39.852,35.734,44.358,45.342,27.631,35.855,31.775,23.894,24.629,25.287,23.873,23.540,26.092,27.376,26.522,27.353,25.862,21.336
22,38.027,31.425,34.654,35.731,33.437,41.222,42.508,27.537,34.527,29.642,23.445,23.946,24.360,23.461,23.314,25.956,27.429,25.679,26.694,25.078,21.409
23,36.773,30.507,32.553,32.632,32.290,38.896,39.856,27.539,32.996,28.424,22.896,23.243,24.056,23.075,23.303,25.819,27.120,25.355,26.047,24.764,21.063
24,36.234,30.024,31.756,30.941,30.722,37.052,38.054,27.512,32.046,26.802,22.655,22.610,23.344,22.873,23.028,25.490,26.885,24.819,26.404,24.620,20.849
