 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32
1,28.057,23.546,24.857,26.011,22.710,19.783,20.032,19.844,20.725,20.201,20.516,22.489,22.812,27.661,44.929,32.159,20.891,25.297,21.385,21.377,22.557,22.416,19.492,18.288,92.453,21.506,18.706,20.555,19.530,19.105,17.752,15.982
2,27.525,23.321,24.780,25.760,22.815,19.811,19.921,19.757,20.576,20.292,20.515,22.415,23.027,27.674,45.216,32.029,20.759,25.253,21.415,21.283,22.684,22.403,19.473,18.449,91.241,21.483,18.792,20.351,19.483,19.077,17.867,15.917
3,27.697,23.607,24.600,25.637,22.678,19.789,20.077,19.792,20.622,20.402,20.465,22.346,22.928,27.550,45.249,32.130,20.977,25.207,21.410,21.219,22.379,22.259,19.338,18.491,90.459,21.554,18.730,20.527,19.484,19.199,17.877,15.943
4,27.383,23.319,24.421,25.507,22.486,19.673,19.968,19.767,20.548,20.234,20.478,22.472,22.905,27.501,44.357,31.946,21.035,25.112,21.488,21.269,22.443,22.248,19.381,18.254,90.077,21.487,18.766,20.469,19.449,19.093,17.983,15.944
5,27.364,23.433,24.363,25.279,22.692,19.834,19.929,19.844,20.562,20.220,20.387,22.308,22.740,27.365,44.421,31.912,20.788,25.017,21.410,21.247,22.484,22.327,19.286,18.411,90.266,21.509,18.599,20.466,19.567,19.087,18.003,15.891
6,27.112,23.204,24.297,25.178,22.634,19.957,19.916,19.770,20.592,20.199,20.315,22.329,22.833,27.451,44.486,31.686,20.775,25.158,21.499,21.212,22.457,22.100,19.344,18.478,90.499,21.562,18.670,20.420,19.484,19.044,17.865,15.911
7,26.763,23.370,24.222,25.071,22.585,19.656,19.839,19.775,20.652,20.213,20.466,22.372,22.772,27.381,44.517,31.899,20.984,25.146,21.515,21.298,22.422,22.120,19.257,18.571,91.145,21.549,18.777,20.401,19.492,19.105,17.765,15.828
8,26.839,23.479,24.135,24.872,22.711,19.766,19.997,19.806,20.629,20.042,20.361,22.217,22.761,27.334,44.433,31.708,20.826,25.298,21.477,21.233,22.441,22.062,19.239,18.509,92.069,21.384,18.624,20.306,19.534,19.129,17.806,15.952
9,26.444,23.288,24.201,24.559,22.568,19.602,19.995,19.875,20.493,20.276,20.308,22.298,22.684,27.228,44.212,31.840,20.807,25.260,21.347,21.236,22.555,21.972,19.365,18.473,92.273,21.414,18.843,20.385,19.511,19.052,17.922,15.937
10,26.316,23.293,23.842,24.600,22.557,19.854,19.968,19.768,20.563,20.294,20.324,22.154,22.873,27.259,44.417,31.525,20.810,25.160,21.369,21.374,22.602,21.938,19.298,18.464,93.290,21.487,18.609,20.281,19.512,19.054,17.949,15.943
11,26.205,23.220,23.774,24.406,22.555,19.660,19.902,19.717,20.646,20.196,20.364,22.240,22.952,27.332,44.447,31.547,20.878,24.962,21.519,21.320,22.551,21.867,19.263,18.482,93.419,21.538,18.736,20.344,19.517,19.191,17.882,15.986
12,26.186,23.141,23.541,24.128,22.627,19.622,20.098,19.723,20.629,20.343,20.419,22.187,22.618,27.161,44.383,31.663,21.125,24.932,21.412,21.265,22.275,21.792,19.222,18.547,92.096,21.528,18.670,20.409,19.461,19.094,17.823,15.929
13,26.015,23.462,23.639,24.263,22.458,19.684,20.082,19.844,20.881,20.093,20.304,22.118,22.676,27.146,44.324,31.406,20.859,25.452,21.444,21.112,22.361,21.744,19.170,18.538,91.608,21.515,18.697,20.336,19.492,19.056,17.860,15.988
14,25.827,23.234,23.553,23.886,22.591,19.804,19.916,19.759,21.036,20.082,20.342,22.221,22.660,27.208,44.547,31.553,20.669,25.002,21.431,21.239,22.268,21.711,19.316,18.413,92.241,21.529,18.691,20.399,19.475,19.070,17.885,15.879
15,25.576,23.141,23.545,23.874,22.550,19.673,19.881,19.729,20.859,20.227,20.179,22.116,22.905,26.998,44.531,31.511,20.585,25.078,21.347,21.178,22.467,21.804,19.149,18.388,92.977,21.523,18.609,20.441,19.550,19.101,17.841,15.938
16,25.637,23.114,23.556,23.858,22.601,19.699,19.987,19.757,20.668,20.138,20.319,22.120,22.573,27.049,44.535,31.469,20.913,24.905,21.474,21.290,22.402,21.606,19.125,18.270,92.537,21.497,18.710,20.373,19.433,19.101,17.831,15.956
