 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20
1,15.933,12.022,18.179,10.652,12.104,14.055,11.188,10.878,11.573,10.798,10.656,11.183,20.052,10.560,11.368,11.857,10.226,9.093,8.253,8.701
2,16.243,12.347,18.328,10.976,12.472,14.436,11.441,11.121,11.784,10.779,10.675,11.228,19.720,10.824,11.652,11.916,10.358,9.179,8.292,8.742
3,15.864,12.278,18.446,10.907,12.397,14.093,11.459,11.059,11.811,10.731,10.681,11.211,19.157,10.841,11.626,11.786,10.382,9.161,8.324,8.743
4,15.696,12.399,18.062,10.895,12.456,14.024,11.407,11.124,11.766,10.726,10.593,11.161,18.804,10.812,11.689,11.686,10.430,9.142,8.378,8.732
5,15.430,12.202,17.600,10.904,12.393,13.704,11.410,11.062,11.711,10.769,10.757,11.067,18.337,10.857,11.440,11.597,10.321,9.100,8.344,8.705
6,15.319,12.119,17.290,10.919,12.481,13.651,11.423,10.977,11.742,10.731,10.691,11.039,17.888,10.830,11.513,11.538,10.370,9.176,8.346,8.750
7,15.083,12.262,17.556,10.852,12.452,13.508,11.345,11.055,11.772,10.760,10.599,10.956,17.564,10.805,11.470,11.419,10.339,9.160,8.405,8.730
8,14.956,12.161,17.256,10.839,12.438,13.425,11.335,11.046,11.697,10.812,10.688,11.078,17.344,10.762,11.560,11.343,10.380,9.120,8.385,8.697
9,14.804,12.115,16.895,10.808,12.421,13.247,11.289,11.016,11.721,10.822,10.615,10.828,17.051,10.695,11.510,11.370,10.382,9.155,8.336,8.716
10,14.638,12.104,16.479,10.890,12.485,13.203,11.384,11.110,11.704,10.649,10.672,10.967,16.826,10.819,11.430,11.250,10.392,9.178,8.376,8.697
11,14.434,11.885,16.197,10.822,12.419,13.090,11.219,11.059,11.780,10.736,10.697,10.933,16.509,10.784,11.404,11.208,10.303,9.185,8.350,8.766
12,14.398,12.195,16.616,10.767,12.401,12.873,11.222,11.005,11.683,10.731,10.612,10.844,16.325,10.862,11.384,11.191,10.459,9.139,8.363,8.672
13,14.275,12.134,16.439,10.744,12.372,12.824,11.245,11.002,11.711,10.865,10.599,10.828,16.067,10.780,11.404,11.114,10.406,9.124,8.329,8.676
14,14.140,12.039,16.256,10.727,12.352,12.764,11.209,11.018,11.780,10.611,10.678,10.750,15.766,10.735,11.391,11.093,10.362,9.141,8.331,8.667
