 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
1,72.340,75.561,74.592,80.827,76.097,73.884,74.187,78.559,73.909,75.000,69.773,70.146
2,73.328,75.860,75.434,82.190,77.088,75.443,75.327,79.175,74.387,76.130,71.266,71.252
3,73.063,76.060,75.651,82.887,77.541,74.659,75.342,78.893,74.588,76.542,71.299,70.949
4,73.456,75.757,75.209,82.536,77.231,75.460,75.454,79.252,75.002,75.994,71.233,71.402
5,72.833,76.195,76.085,82.301,76.033,75.252,75.340,77.645,75.113,76.506,71.297,71.066
6,73.199,75.969,75.301,82.025,76.419,75.313,75.733,77.570,74.809,76.349,71.742,71.044
7,72.730,76.017,75.871,81.900,76.532,75.080,75.189,77.826,74.213,76.252,71.076,70.201
8,73.063,75.556,75.864,82.830,76.742,75.011,75.030,77.356,73.804,75.662,71.342,70.554
9,72.784,75.088,75.482,82.253,76.070,74.501,75.277,77.033,74.025,75.855,71.473,70.529
10,72.998,75.820,75.604,81.947,76.021,74.504,75.342,77.324,73.642,76.050,71.205,70.758
11,73.129,75.536,75.418,81.830,75.863,75.030,74.682,77.272,73.819,75.989,71.269,70.475
12,73.232,75.539,75.407,81.882,76.474,74.518,75.236,77.931,73.703,75.676,71.075,70.334
13,72.878,75.427,74.943,81.521,76.043,74.900,75.617,77.511,73.664,75.588,71.142,70.711
14,72.948,75.137,75.400,82.539,75.809,74.330,75.009,77.454,74.240,76.172,71.284,70.321
15,73.308,75.323,75.093,81.997,75.562,74.817,75.493,77.318,73.485,75.863,70.982,70.199
16,72.777,75.694,75.239,82.950,75.036,74.751,75.041,76.923,74.042,75.418,71.191,70.061
17,73.211,74.912,75.335,81.867,75.611,74.729,75.407,79.133,73.510,75.721,71.078,70.501
18,73.465,75.994,75.470,81.935,75.125,75.452,74.985,80.698,74.338,75.987,70.865,70.076
19,73.077,75.602,75.836,82.439,76.043,75.166,75.843,79.657,73.681,75.334,71.199,70.709
20,72.939,75.808,75.754,82.231,75.666,74.848,75.136,78.829,73.373,75.865,71.290,70.792
21,72.709,75.618,75.201,81.982,75.985,74.064,74.746,77.915,73.605,75.414,70.815,70.406
22,72.796,75.694,75.558,82.679,76.280,74.100,75.157,77.576,73.757,75.908,71.063,70.062
23,73.226,75.469,75.257,82.000,75.520,74.640,75.284,78.221,73.873,75.408,71.407,70.281
24,72.967,75.613,75.000,81.837,75.401,75.305,74.436,77.676,73.757,75.084,71.295,70.716
25,73.110,76.152,75.362,81.747,75.739,75.186,75.331,78.242,73.159,76.214,71.103,70.682
26,72.796,75.530,75.246,83.020,75.675,74.346,74.699,77.540,74.181,75.198,71.221,70.653
27,72.676,76.204,75.287,82.231,75.301,74.562,75.219,78.090,73.956,75.998,71.021,70.693
28,72.448,75.886,75.247,82.386,74.897,75.078,75.305,77.427,74.113,76.439,71.053,70.228
29,72.794,75.352,74.715,82.554,75.593,75.587,74.873,77.234,73.939,75.880,71.164,69.984
30,72.789,75.556,75.308,82.185,75.760,74.579,74.968,77.504,73.760,75.454,71.412,70.028
31,72.310,75.716,74.990,81.812,75.620,75.139,75.409,77.802,73.995,75.103,71.161,70.587
32,72.770,75.685,75.043,81.845,75.538,74.842,75.011,78.431,73.958,75.351,70.866,70.264
33,72.789,74.982,75.270,81.624,74.827,74.809,75.770,79.035,73.228,75.616,71.456,70.397
34,72.674,75.376,75.520,82.208,75.027,75.102,75.579,78.399,73.542,76.132,71.426,70.549
35,72.666,74.972,75.301,82.261,75.514,74.767,75.092,78.463,73.797,75.252,71.460,70.594
36,72.711,75.203,75.443,81.419,75.179,74.654,74.819,77.939,73.782,75.344,71.122,70.730
37,72.840,75.561,74.912,82.203,75.052,74.427,75.568,77.522,73.485,75.349,71.193,70.231
38,72.713,75.272,75.278,81.759,75.249,74.812,75.630,77.611,74.113,75.708,71.516,70.559
39,72.571,75.233,75.848,81.779,75.204,75.066,75.236,77.156,73.728,76.134,70.795,69.702
40,73.087,75.630,75.386,81.767,75.435,75.150,74.806,77.188,73.762,75.063,71.208,70.798
