 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
1,87.880,95.724,86.663,104.326,104.004,100.325,91.716,96.045,91.622,91.274,97.779,95.842,96.222,95.420,92.104,88.584
2,89.010,97.568,87.717,106.654,105.831,102.057,92.901,97.131,92.248,92.585,99.649,96.725,98.058,95.628,93.053,90.275
3,89.192,97.080,87.825,107.058,106.856,101.959,92.690,97.647,91.790,92.123,99.368,96.579,97.720,96.521,93.138,90.040
4,89.166,96.985,87.550,105.492,106.462,102.044,93.282,97.848,91.861,91.774,99.275,96.086,97.688,96.245,92.701,90.692
5,92.381,98.294,87.993,106.778,107.036,103.445,93.384,97.957,92.030,93.418,102.533,99.082,99.620,95.987,94.349,91.015
6,95.405,99.915,87.885,109.080,108.907,104.281,94.103,98.040,93.479,94.128,105.373,101.606,100.312,97.479,95.426,93.621
7,95.533,100.590,88.949,110.808,112.850,104.361,94.555,97.171,94.218,94.938,104.747,100.589,101.440,98.707,95.030,92.982
8,97.333,100.113,87.732,111.151,112.722,104.732,95.481,98.043,93.622,93.949,102.941,99.099,101.571,99.045,95.215,92.231
9,97.651,98.709,88.792,110.425,114.508,105.970,95.732,97.126,94.634,94.131,102.770,98.226,102.618,99.790,94.834,92.436
10,97.006,98.307,88.759,112.175,117.489,108.115,96.465,97.035,94.602,95.327,102.794,98.019,103.506,99.832,94.661,92.388
11,97.411,98.023,88.253,113.760,120.201,106.798,97.282,98.037,95.309,96.150,103.070,97.651,103.648,102.021,95.118,92.553
12,97.898,98.774,88.913,114.397,119.589,106.719,98.664,96.709,95.511,95.845,102.358,96.887,103.677,101.519,94.088,92.066
13,98.561,98.269,89.406,116.335,121.837,108.350,99.038,97.380,95.022,96.137,103.114,99.515,103.718,103.380,94.795,92.416
14,98.553,98.219,89.538,119.384,124.553,109.858,98.922,98.671,95.715,96.199,106.944,100.585,105.970,105.189,94.914,94.174
15,97.507,97.437,89.538,119.495,128.492,108.811,98.710,98.008,95.574,96.144,105.768,99.819,105.840,105.402,94.354,94.414
16,97.693,97.249,89.432,119.156,130.597,109.590,98.827,97.610,95.467,97.097,105.127,97.862,105.226,107.832,94.402,94.196
17,98.483,99.095,90.079,119.121,134.337,110.970,99.344,97.920,95.681,97.392,105.472,99.207,106.314,108.763,95.775,94.742
18,99.397,100.696,89.549,119.780,136.555,111.437,100.000,97.797,95.261,97.218,107.471,100.244,106.615,109.455,96.498,95.599
19,98.022,98.824,89.291,120.849,135.860,110.820,99.479,97.791,95.828,97.770,106.845,98.384,105.457,108.761,95.201,94.553
20,97.551,98.819,89.586,119.447,133.739,110.306,99.559,97.882,95.592,97.029,104.417,98.074,105.021,109.088,95.118,94.222
21,97.549,97.942,89.852,118.447,133.564,108.495,100.521,96.890,95.057,95.882,103.368,97.606,105.124,108.854,94.715,93.280
22,96.655,97.008,89.073,118.328,129.189,108.352,99.378,96.334,95.034,95.477,101.472,96.988,104.617,107.835,94.740,92.419
23,96.002,97.008,88.820,116.305,126.653,108.473,98.571,96.930,93.616,94.429,100.866,96.858,104.474,106.521,94.807,92.326
24,95.657,97.399,88.486,115.626,123.199,107.366,99.207,97.719,93.972,93.813,100.840,95.936,103.808,106.931,94.127,92.242
25,95.425,97.058,87.756,114.747,122.169,105.281,98.901,97.249,94.248,93.727,99.721,97.000,101.705,106.316,94.474,91.581
26,94.633,96.912,87.982,114.387,120.456,105.167,96.857,97.441,93.309,92.018,99.958,95.680,101.957,104.941,94.175,91.425
27,93.944,96.156,88.234,114.039,119.424,104.355,97.205,97.096,93.509,92.939,99.559,95.694,101.299,105.338,93.887,90.593
28,93.565,96.015,87.931,112.289,118.191,104.208,98.161,97.545,93.051,92.301,98.908,95.764,100.222,103.984,93.953,90.535
29,94.100,96.613,88.352,111.527,115.356,103.082,96.354,97.126,92.321,92.038,99.180,95.910,99.844,103.290,93.422,91.218
30,93.359,95.945,88.042,111.965,115.386,102.997,96.924,97.011,92.485,91.946,98.814,96.431,98.981,104.106,93.736,91.304
31,93.361,96.550,87.567,111.523,115.097,102.612,96.191,97.070,92.352,91.767,98.877,95.497,99.641,104.088,93.494,90.934
32,92.655,96.618,87.870,111.108,112.890,102.191,95.266,97.495,93.042,91.488,98.096,96.006,99.457,103.697,93.298,90.610
33,92.645,96.221,87.652,110.164,113.256,101.560,95.219,96.369,92.547,91.399,99.016,95.271,98.720,103.072,93.087,90.985
34,91.868,95.741,87.235,108.790,111.525,101.587,95.505,97.150,92.907,91.346,98.752,95.994,98.194,102.941,92.841,91.018
35,92.287,96.276,87.234,108.693,111.432,103.104,95.416,97.171,91.879,91.668,98.712,96.205,97.825,103.561,93.559,90.438
36,92.118,95.568,87.510,108.460,110.074,102.219,95.334,97.219,92.287,91.638,98.345,96.187,97.462,102.085,93.110,90.597
37,92.373,95.967,87.271,108.467,108.712,101.342,95.074,96.909,92.216,91.456,98.894,95.750,97.679,101.633,92.491,90.222
38,91.697,96.334,87.270,107.724,108.767,101.934,95.425,97.556,92.192,91.595,98.309,95.417,98.278,102.657,92.708,90.046
39,91.653,96.020,87.172,107.110,107.561,101.199,94.235,96.586,92.584,91.520,98.047,96.045,96.705,102.064,92.534,90.370
40,91.886,96.133,86.948,107.181,106.994,101.579,94.736,96.684,91.398,91.013,98.497,96.066,97.632,101.045,92.177,89.736
41,91.078,96.068,86.952,106.525,106.775,101.623,95.012,96.497,91.978,91.483,98.585,96.135,97.096,101.614,92.719,90.097
42,91.186,95.701,86.610,106.225,107.144,100.292,94.318,96.209,91.681,91.482,98.696,95.936,96.141,100.832,92.313,89.722
43,91.459,96.359,87.453,106.352,105.951,101.656,93.911,96.759,91.517,91.745,98.281,95.893,96.791,101.753,92.505,90.403
44,90.770,96.676,86.918,106.886,106.025,101.219,93.781,97.270,91.529,91.112,97.845,95.943,97.184,100.697,93.120,90.267
45,90.367,96.181,87.175,107.417,105.405,101.243,93.932,96.524,91.612,91.211,98.538,95.630,97.327,100.410,92.818,89.910
46,90.762,96.487,86.703,106.136,105.362,99.945,93.924,97.083,91.137,90.923,98.028,96.107,96.771,99.082,92.720,90.778
47,92.671,96.709,86.873,104.976,106.303,101.355,93.338,96.989,91.943,91.710,98.348,95.322,97.039,99.888,93.489,90.183
48,95.339,97.136,87.651,106.177,106.811,104.301,93.330,97.941,91.978,91.474,102.864,97.881,98.575,100.000,94.565,90.954
49,96.002,96.435,87.424,106.810,107.633,103.514,94.527,96.618,92.818,91.380,101.490,97.846,98.735,100.793,94.361,90.974
50,95.188,96.339,87.600,107.693,107.850,103.538,94.487,97.436,92.541,92.155,100.642,97.006,98.983,100.532,94.366,90.601
51,96.142,96.332,87.888,107.629,108.042,103.363,95.000,97.944,93.784,91.582,100.877,97.049,99.590,100.673,93.922,90.051
52,95.559,97.058,87.751,108.246,107.767,103.790,94.338,96.615,93.022,91.161,99.980,96.737,100.288,99.519,94.363,90.183
53,95.601,96.827,87.622,107.810,107.288,103.525,94.926,97.201,93.030,91.667,99.621,95.867,99.921,100.261,93.341,90.222
54,94.958,95.957,88.006,106.413,106.803,102.538,94.344,96.909,92.970,91.568,98.980,96.292,99.885,99.577,94.312,89.729
55,94.663,96.214,87.943,106.054,105.589,102.393,94.648,96.727,92.646,90.708,98.521,96.154,98.400,99.726,93.713,90.474
56,93.331,96.500,87.093,105.067,105.758,101.934,94.624,96.302,92.204,91.026,98.634,95.534,97.618,99.125,94.150,89.910
57,93.240,96.085,87.541,104.991,105.290,102.270,93.537,96.008,91.968,91.480,98.397,95.770,97.801,99.072,94.047,90.722
58,92.487,95.834,87.207,104.752,105.511,101.194,93.833,96.241,91.972,91.148,98.446,95.452,97.912,99.492,93.509,89.784
59,92.305,95.736,87.355,104.590,105.199,102.579,92.330,96.155,91.679,90.718,98.861,95.949,97.624,98.715,93.386,89.562
60,92.695,96.442,87.165,104.058,104.981,101.284,92.592,96.898,91.659,91.298,97.642,95.595,97.226,97.574,93.677,89.714
61,92.190,96.827,87.070,105.533,104.424,101.418,93.209,95.896,91.527,91.027,97.694,95.363,97.032,99.016,92.836,89.795
62,92.501,96.146,86.988,104.441,105.008,101.743,92.600,96.965,91.265,90.761,98.069,95.045,97.051,98.564,93.103,90.513
63,91.711,96.819,87.163,104.782,104.600,101.134,93.016,97.361,91.440,90.388,98.330,95.133,97.705,98.144,93.285,89.586
64,91.002,95.814,87.241,103.924,104.811,101.702,92.117,96.398,91.271,91.509,98.106,95.858,96.707,97.864,92.921,90.370
65,90.651,95.721,86.280,104.743,104.595,101.678,92.696,95.524,91.850,92.048,98.302,95.142,96.739,96.779,93.204,90.009
66,91.078,96.621,87.198,104.225,104.803,101.650,92.250,96.706,90.754,91.793,97.606,95.774,96.585,97.032,92.632,89.963
