 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
1,145.226,116.353,111.692,121.113,134.854,158.655,162.019,142.279,126.768,141.087,86.953,130.594,142.706
2,152.169,121.112,115.767,127.818,139.579,166.188,170.811,150.215,135.101,148.192,88.084,137.375,151.030
3,151.259,120.459,113.789,129.835,140.378,171.052,169.175,148.232,133.040,144.530,88.875,136.337,152.356
4,149.532,120.351,117.219,128.527,140.177,166.666,168.923,148.136,132.437,145.094,89.558,137.215,148.512
5,151.073,123.076,116.083,125.767,138.972,169.397,166.897,148.472,132.106,146.914,90.317,138.134,149.643
6,152.983,124.253,116.185,122.991,141.790,173.513,172.487,149.669,133.169,144.467,89.934,135.945,151.148
7,151.554,123.873,115.889,122.835,138.658,172.713,169.963,150.043,132.228,146.934,88.580,135.836,150.129
8,148.659,121.302,115.332,124.281,138.614,171.539,171.945,146.887,133.546,143.137,89.906,137.184,148.380
9,150.436,119.327,113.575,127.259,140.817,171.172,169.056,144.171,133.804,144.965,90.692,137.200,145.560
10,151.019,122.422,116.590,120.649,141.247,170.810,169.124,148.661,135.068,146.394,90.964,134.967,146.496
11,149.755,124.053,114.932,123.576,141.039,171.584,169.069,145.510,132.653,147.533,90.720,135.295,148.990
12,152.528,120.688,116.576,123.949,141.368,170.233,167.555,148.087,131.772,145.462,88.848,136.491,147.368
13,152.754,125.704,113.950,124.073,140.195,171.910,170.095,147.846,133.483,145.967,86.616,135.396,146.213
14,151.086,122.306,114.817,126.719,141.630,169.735,169.002,146.927,134.067,146.555,89.173,136.321,148.770
15,149.329,122.065,113.417,125.968,140.670,170.121,170.262,148.860,134.985,142.974,91.398,135.059,148.182
16,149.045,120.029,115.918,123.897,138.608,171.071,167.644,148.041,132.675,144.591,89.970,136.092,147.209
17,152.281,124.575,114.983,125.670,136.231,170.685,169.507,146.307,135.731,145.485,90.205,134.450,150.735
18,149.878,123.180,113.663,124.173,140.726,172.756,169.685,149.495,130.988,147.122,88.725,135.344,149.875
19,150.577,122.059,114.927,123.921,139.016,173.662,168.654,146.927,133.992,144.279,91.367,135.481,149.960
