 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34
1,18.356,26.087,24.815,13.311,23.446,22.924,18.515,11.995,12.271,13.976,12.757,11.820,15.347,13.405,12.367,11.875,11.971,10.110,10.145,10.826,12.690,13.703,12.020,12.025,13.502,14.103,12.708,12.061,11.726,10.951,14.280,16.902,10.340,12.240
2,18.457,26.695,24.964,13.378,23.465,23.879,18.914,12.299,12.584,14.338,13.013,11.889,15.666,14.171,12.670,11.949,12.056,10.276,10.379,11.091,12.871,13.665,12.302,12.163,13.780,14.513,12.816,12.340,11.975,11.127,14.504,17.071,10.534,12.607
3,18.159,26.508,28.140,13.444,24.069,24.025,20.301,12.283,12.555,14.344,12.960,11.736,16.007,14.751,12.802,12.018,12.116,10.322,10.292,11.374,12.920,13.735,12.096,12.148,13.833,15.251,12.932,12.295,11.923,11.175,14.461,17.215,10.556,12.863
4,21.003,26.561,31.031,13.783,26.044,23.992,22.232,12.596,12.489,14.153,13.029,13.481,15.904,14.423,13.016,12.085,11.959,10.416,10.393,11.940,12.936,13.581,12.186,12.166,13.919,15.854,12.908,12.868,12.002,11.127,14.461,17.884,10.843,13.210
5,21.983,26.136,34.701,14.059,26.646,24.051,22.121,13.878,12.509,14.288,12.996,14.816,15.815,14.499,13.035,12.257,12.051,10.522,10.407,11.962,12.960,13.514,12.184,12.668,13.961,16.044,12.765,13.010,11.986,11.090,14.496,18.325,11.192,13.284
6,22.133,25.759,37.907,13.941,26.882,23.909,22.056,14.579,12.408,14.163,12.985,14.384,15.627,14.866,13.142,12.149,12.053,10.595,10.326,12.045,13.017,13.538,12.082,12.693,13.868,16.018,12.732,12.976,12.004,11.188,14.327,18.656,11.333,13.154
7,25.196,26.305,38.544,15.023,26.923,23.801,22.252,14.984,12.294,14.181,13.131,15.103,15.462,14.352,13.135,12.137,12.153,10.656,10.543,12.211,12.949,13.584,12.082,12.601,13.873,16.033,12.934,13.800,11.930,11.143,14.426,18.742,11.519,13.494
8,24.169,25.995,38.328,14.694,26.332,23.985,22.054,14.827,12.447,14.215,13.234,14.652,15.598,14.345,13.098,12.032,12.099,10.536,10.521,12.347,13.022,13.405,12.029,12.364,13.883,15.777,13.184,13.526,12.040,11.147,14.294,18.683,11.278,13.427
9,22.973,25.473,39.219,14.033,25.877,23.829,22.499,14.534,12.285,14.162,13.272,14.242,15.848,14.993,13.198,12.018,12.094,10.500,10.471,12.117,12.945,13.448,12.098,12.386,13.826,16.182,14.019,13.024,12.014,11.071,14.385,18.696,11.097,13.384
10,21.704,25.180,38.463,13.804,25.329,23.785,23.170,14.169,12.347,14.070,13.238,13.817,15.763,14.521,13.140,12.091,12.143,10.495,10.435,12.162,12.923,13.521,11.992,12.138,13.824,16.190,13.696,12.812,11.912,11.132,14.312,18.614,10.868,13.313
11,20.691,24.769,38.651,13.559,24.365,23.823,22.550,13.903,12.287,14.157,13.106,13.447,15.754,14.232,13.165,11.968,12.070,10.421,10.354,12.079,12.852,13.390,12.002,12.144,13.775,16.315,13.355,12.531,11.993,11.087,14.233,18.465,10.925,13.137
12,19.902,24.433,37.938,13.347,23.913,23.813,21.649,13.622,12.254,14.025,13.086,13.214,15.664,14.570,13.179,11.968,12.092,10.334,10.334,12.060,12.647,13.371,12.045,12.119,13.843,16.197,13.200,12.406,11.968,11.109,14.050,18.392,10.675,13.131
13,19.323,24.045,37.670,13.260,24.449,23.801,20.916,13.375,12.276,14.191,13.200,12.966,15.895,14.784,13.056,12.036,12.303,10.306,10.407,11.883,12.715,13.263,12.035,12.057,13.812,16.523,13.280,12.226,11.970,11.048,14.140,18.414,10.576,12.989
14,18.736,23.627,38.078,13.242,26.027,23.795,21.050,13.205,12.225,15.661,13.806,12.759,16.831,16.574,13.863,11.956,14.123,10.275,10.390,11.694,12.735,13.397,12.024,12.103,13.747,16.862,14.009,12.255,11.907,11.061,14.201,18.571,10.611,13.230
15,18.302,23.487,36.691,13.202,26.008,23.540,20.324,13.016,12.258,16.308,13.700,12.508,16.735,16.189,13.651,11.962,13.751,10.266,10.398,11.509,12.675,13.326,12.053,12.082,13.764,16.390,13.779,12.109,11.904,11.078,14.300,18.511,10.700,13.011
