 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15
1,63.066,71.746,65.427,101.285,69.219,66.122,65.080,57.840,55.828,56.390,69.524,62.051,61.628,59.199,61.654
2,63.841,71.586,66.087,100.992,70.321,67.760,65.934,58.755,56.187,57.259,71.362,62.868,62.113,59.519,62.109
3,63.754,72.256,66.182,100.992,70.436,67.755,66.456,58.542,56.424,57.484,70.837,63.264,62.211,59.386,62.668
4,63.634,72.410,65.988,105.573,70.488,67.993,66.252,59.104,56.245,57.619,71.076,63.038,63.003,59.209,63.117
5,63.710,71.594,66.221,104.053,70.317,67.353,66.331,59.349,56.431,57.582,71.260,63.258,62.309,59.382,62.488
6,63.962,71.839,66.763,101.015,70.432,67.965,66.408,61.225,56.022,57.491,71.400,62.998,62.575,59.303,62.480
7,63.876,72.210,66.421,103.155,70.447,67.302,66.026,61.085,56.192,57.807,71.499,62.908,62.251,59.267,62.324
8,63.738,71.082,66.229,106.445,70.120,67.246,66.206,60.027,56.408,57.665,71.208,62.823,62.425,59.230,62.174
9,63.437,71.408,66.482,102.615,70.189,67.672,66.160,59.690,56.376,57.358,71.270,63.002,62.290,59.237,62.692
10,64.106,71.829,66.099,101.575,70.126,67.413,66.335,61.552,56.336,57.363,71.537,63.130,61.955,58.963,63.044
11,63.770,71.256,65.992,103.703,70.434,67.542,66.026,60.906,56.241,57.543,71.154,63.226,62.156,59.399,62.248
12,63.703,70.291,66.413,106.627,70.248,66.928,65.656,59.993,56.425,57.855,70.949,62.972,62.892,59.276,62.183
13,64.110,72.521,68.652,104.703,70.437,67.280,65.869,59.811,56.610,57.862,71.387,63.096,62.522,59.194,62.308
14,78.107,88.100,97.962,150.470,84.964,69.695,73.868,59.186,56.303,63.718,71.129,66.381,66.734,65.404,69.853
15,96.816,103.191,105.885,154.723,91.401,73.482,82.308,59.157,56.509,69.980,72.716,68.134,69.185,75.021,75.142
16,104.262,104.510,106.132,145.917,89.506,74.496,87.681,58.879,56.211,71.069,77.269,70.062,69.412,78.856,76.248
17,105.809,105.080,105.911,161.385,97.604,76.395,88.589,59.077,56.383,72.199,84.297,69.617,69.657,80.540,77.125
18,106.582,105.894,106.360,153.395,96.871,77.288,87.783,58.482,55.955,72.092,85.976,70.817,69.430,80.700,76.480
19,106.033,105.386,105.925,165.548,103.306,77.414,87.305,58.291,56.193,71.801,86.042,70.570,69.032,81.251,76.657
20,106.254,105.312,105.585,157.638,98.360,77.408,85.431,59.467,56.224,72.035,85.301,71.023,68.224,81.193,76.826
21,105.187,104.479,104.816,155.148,96.058,77.735,83.501,61.133,56.084,71.663,83.472,70.562,68.185,80.838,76.823
22,105.591,105.358,104.247,180.718,104.671,78.072,83.344,60.458,56.090,71.014,81.879,71.066,68.259,81.679,77.185
23,104.848,104.204,104.911,171.453,99.895,77.266,82.366,59.770,56.285,70.722,82.614,70.608,68.578,81.953,77.308
24,104.439,104.937,103.761,156.905,92.977,76.814,82.273,59.530,56.116,70.083,83.575,70.625,68.084,81.613,76.698
25,104.157,104.892,102.974,149.533,89.138,76.063,80.243,60.964,56.424,70.771,83.030,70.928,67.734,81.254,75.839
26,103.674,103.449,102.431,180.693,100.755,76.441,79.321,60.738,56.443,69.548,82.193,70.779,68.351,81.520,76.608
27,103.126,103.336,101.868,174.092,98.834,75.310,77.216,60.213,56.131,69.512,80.910,70.213,67.449,81.754,76.417
28,103.063,101.408,101.520,160.767,91.910,74.242,76.045,59.419,55.917,69.193,78.499,70.808,67.142,80.729,75.275
29,101.888,99.939,100.484,148.613,87.600,73.334,73.615,58.935,55.943,68.289,77.203,70.721,66.842,79.747,75.673
30,101.637,98.861,99.318,139.230,84.382,73.514,73.039,58.571,55.989,68.241,75.799,69.972,66.631,80.266,75.338
31,100.123,95.197,98.970,130.958,81.388,72.805,71.769,58.867,55.862,68.234,75.124,69.660,66.554,80.162,73.946
32,100.466,95.573,98.522,124.170,79.308,71.504,71.062,58.472,55.873,67.167,74.586,70.325,65.900,79.721,73.913
33,98.825,92.471,96.209,119.945,77.102,71.023,69.997,58.831,55.716,67.498,73.889,70.275,65.823,79.326,73.376
34,97.513,89.495,94.684,116.247,76.099,70.735,68.497,58.680,55.545,67.014,73.784,69.517,66.240,78.890,73.406
35,98.485,90.646,90.336,112.232,75.126,69.583,67.691,59.039,55.835,66.837,72.788,69.051,65.034,77.994,71.967
36,97.048,87.325,87.360,109.470,74.109,69.082,67.109,59.283,55.863,66.268,72.838,68.583,64.522,77.224,72.597
