 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24
1,63.806,57.924,59.171,68.413,85.870,63.230,63.549,61.661,57.297,63.948,69.494,79.541,79.118,72.642,83.825,88.398,62.457,62.279,65.735,59.584,53.525,62.822,68.070,69.850
2,63.346,57.538,58.882,68.576,84.365,63.055,63.386,61.755,57.216,63.658,68.452,79.133,79.568,72.257,83.538,92.435,62.455,62.130,65.611,59.381,53.399,62.854,68.373,69.089
3,63.699,57.800,58.514,68.176,85.874,63.027,63.453,61.488,57.166,63.729,68.237,79.274,78.557,71.634,84.569,91.107,62.329,62.173,66.114,59.126,53.465,62.834,68.406,69.023
4,63.642,57.855,58.517,68.338,85.290,63.390,63.426,61.790,57.133,63.415,68.605,79.433,79.412,71.771,84.227,89.658,62.457,62.369,65.165,59.063,53.521,62.844,68.280,68.904
5,63.270,57.879,58.801,68.800,83.956,63.304,63.190,61.415,57.094,63.932,69.220,79.243,79.392,73.060,82.730,92.391,62.514,62.577,66.125,59.552,53.384,63.373,69.042,69.335
6,63.295,57.771,58.735,68.156,86.437,63.225,63.130,61.505,57.560,63.509,68.593,79.393,79.540,72.888,81.415,92.206,62.354,62.709,65.600,59.409,53.450,62.993,68.182,69.155
7,63.763,58.076,58.660,69.102,86.153,63.593,63.475,61.630,57.554,63.722,69.457,80.017,79.782,72.529,81.153,89.317,62.417,62.140,65.795,59.493,53.560,63.166,68.655,69.042
8,63.520,57.991,58.595,68.004,85.960,63.555,63.586,61.345,57.436,63.676,68.575,79.793,79.674,72.271,80.990,88.866,62.681,62.168,65.582,58.692,53.485,62.707,68.367,69.155
9,63.747,57.964,59.072,68.560,87.814,63.228,63.920,61.832,57.576,63.525,69.820,80.285,79.878,71.612,83.096,92.777,62.501,62.649,65.395,59.469,53.404,62.885,68.473,69.326
10,63.943,58.175,59.274,68.502,86.768,63.390,64.096,61.950,57.505,63.612,69.696,79.818,79.787,71.640,83.045,91.169,62.624,62.537,66.047,59.469,53.659,62.673,68.090,69.253
