 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30
1,72.256,109.723,97.001,87.895,85.019,84.802,95.468,96.878,113.562,94.967,89.275,126.977,106.522,85.226,112.504,89.511,87.835,97.688,83.307,87.918,92.498,77.249,76.956,79.971,71.358,97.674,69.520,90.316,64.465,78.667
2,72.957,106.689,97.158,89.597,86.938,86.970,95.761,96.409,111.751,96.669,90.530,129.643,111.581,88.043,116.586,90.829,89.827,100.401,83.947,90.423,94.578,80.162,80.387,81.982,72.386,97.923,70.000,90.845,64.691,78.887
3,72.356,101.351,94.879,88.945,86.581,87.055,94.229,94.341,111.450,96.768,90.468,129.581,110.019,87.966,117.972,90.843,89.807,99.898,83.851,89.762,95.274,79.665,79.577,81.234,72.987,94.833,70.507,90.720,64.662,79.434
4,71.722,96.637,93.522,88.831,85.320,86.824,93.838,92.448,110.983,96.901,90.405,130.143,109.419,88.162,117.021,90.721,88.938,99.702,84.590,90.267,94.924,79.274,78.759,81.385,72.876,92.874,70.330,90.948,64.977,79.282
5,71.455,95.122,92.107,88.474,85.534,86.520,93.281,91.294,110.044,97.405,90.511,129.328,109.036,87.572,117.900,90.471,88.997,99.630,84.032,90.427,94.114,79.975,78.730,80.876,72.722,91.557,70.122,91.423,65.019,79.233
6,70.981,93.463,91.181,87.980,85.966,87.077,91.975,90.563,108.624,97.120,90.578,129.111,108.940,87.754,118.681,90.631,88.790,99.481,84.046,89.631,93.852,79.168,77.956,81.424,72.728,90.105,69.930,90.931,64.944,79.104
7,70.858,92.052,90.707,87.704,85.795,86.602,91.692,88.680,108.978,96.458,90.290,128.406,109.115,87.784,117.126,89.722,89.605,98.882,83.202,89.768,94.091,78.584,78.737,81.246,72.627,88.445,70.629,90.998,64.915,79.340
8,70.725,91.473,89.352,87.438,85.276,86.567,91.886,88.235,107.531,96.754,90.184,128.479,108.881,87.859,116.853,91.199,91.148,98.889,84.511,89.034,93.468,78.563,77.080,80.658,73.065,87.848,70.511,90.930,64.862,78.997
9,70.477,90.914,89.109,87.017,84.627,86.137,91.033,87.013,107.486,97.080,89.995,128.891,108.894,87.392,118.111,90.187,89.466,99.093,84.149,89.824,93.331,78.629,77.766,80.713,72.902,86.608,70.658,91.044,64.895,79.531
10,70.575,89.743,88.759,86.786,85.050,86.314,91.285,86.915,106.883,96.744,90.032,128.960,108.505,87.467,117.866,90.025,89.148,99.481,84.253,89.613,94.452,79.325,78.708,80.898,72.705,85.926,70.346,91.218,64.608,79.650
11,70.290,89.375,88.316,86.900,83.537,86.429,92.098,85.623,107.162,96.903,90.232,128.053,108.524,87.585,117.147,90.170,88.920,98.977,83.493,89.579,93.624,78.985,78.139,80.440,72.674,85.411,70.464,91.294,64.764,79.524
12,70.250,89.399,87.978,86.615,84.171,86.107,90.613,85.179,107.386,96.488,89.777,128.628,108.431,87.115,116.946,90.735,87.986,98.889,83.380,89.449,94.118,79.305,77.861,81.644,72.628,84.807,69.887,90.721,65.068,79.731
