 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89
1,24.290,65.644,35.679,41.173,35.552,46.477,28.398,48.051,39.584,25.631,27.588,26.899,25.494,25.113,24.147,30.292,25.495,28.121,23.239,32.427,26.806,24.881,26.087,29.263,28.055,24.731,59.673,31.952,25.573,20.687,40.666,31.174,41.795,28.871,35.026,22.960,58.517,30.977,55.672,41.825,41.434,32.883,31.751,27.938,41.730,29.623,27.192,27.337,26.713,25.953,25.076,24.610,44.278,26.660,68.147,22.029,24.202,21.971,24.769,23.299,30.518,39.714,33.959,27.051,30.188,34.926,28.566,43.185,42.546,28.677,37.779,46.239,29.102,37.620,22.935,23.131,27.014,45.516,21.349,18.784,26.402,22.207,24.030,20.084,32.853,19.738,23.972,21.553,23.824
2,25.090,66.812,36.557,43.166,37.497,47.100,29.021,49.051,40.719,26.022,27.564,26.755,25.685,25.324,24.573,30.902,26.177,29.129,23.575,33.739,27.942,25.691,26.877,29.958,28.907,25.570,62.337,33.568,26.402,21.364,44.096,32.753,43.720,29.666,36.146,23.009,63.143,31.539,60.635,44.935,42.891,33.701,32.870,28.615,46.607,30.734,28.168,28.293,27.119,26.538,25.858,24.902,44.975,27.249,69.750,22.330,24.682,22.249,25.571,23.809,31.051,39.333,35.736,27.525,30.529,35.432,29.028,44.378,43.907,29.324,37.885,47.233,31.693,38.982,23.360,23.315,27.829,46.294,21.724,19.017,26.618,22.729,24.489,20.511,34.585,20.294,24.712,21.880,23.992
3,25.430,67.131,37.009,43.722,37.413,46.180,28.441,49.219,41.073,25.933,26.796,26.026,25.805,25.314,24.332,30.982,25.601,28.493,23.457,33.649,27.680,25.764,26.642,30.077,28.929,25.506,60.378,33.472,26.325,21.232,44.682,32.659,44.876,30.920,36.359,22.696,63.001,31.751,59.358,45.442,41.973,33.224,32.651,28.625,47.835,30.056,28.275,27.704,27.252,26.488,25.822,25.092,45.220,27.188,68.904,22.402,24.820,22.326,25.541,23.892,30.303,38.487,35.217,27.423,31.753,35.974,29.970,44.188,44.926,29.066,36.806,47.383,31.737,38.861,23.534,23.283,27.382,46.465,21.598,18.940,26.294,22.736,24.201,20.435,33.948,20.438,24.201,22.138,24.055
4,26.210,67.744,37.500,44.347,37.612,46.114,28.780,49.498,41.146,26.488,26.560,25.779,25.965,25.489,24.567,30.652,25.659,29.408,23.945,34.153,28.027,25.971,27.212,30.609,29.331,25.778,61.267,33.719,26.364,21.295,50.878,33.525,45.645,34.787,36.218,22.266,64.209,32.101,64.585,51.227,50.808,33.297,32.862,28.869,49.253,30.449,28.207,27.976,26.918,26.831,26.101,25.217,46.439,28.269,70.136,22.376,24.674,22.307,25.627,23.732,30.198,39.068,37.447,27.440,36.760,49.977,34.334,54.272,48.439,29.891,41.418,47.960,32.922,39.529,23.913,23.371,27.509,48.239,21.568,18.963,26.356,22.660,24.571,20.393,34.492,20.317,24.341,22.416,24.158
5,26.430,69.394,37.459,42.802,37.813,45.468,28.751,49.546,41.838,26.431,26.632,25.966,26.066,25.272,24.581,31.080,25.434,29.886,24.836,33.101,27.844,25.831,27.204,30.276,29.386,25.612,59.512,33.488,26.402,21.248,49.352,33.393,44.944,36.881,35.858,22.057,65.538,32.359,67.829,55.223,55.475,33.458,32.665,28.894,47.977,30.107,28.216,27.935,26.815,27.514,26.285,25.488,47.415,28.433,69.928,22.550,24.865,22.392,25.601,23.888,30.156,38.238,39.266,27.385,38.291,60.163,35.368,60.216,48.501,29.872,44.897,48.952,33.932,39.811,25.027,23.446,28.146,48.659,21.595,18.900,26.724,22.903,24.223,20.356,35.512,20.134,24.307,22.623,24.496
6,26.005,69.334,37.316,41.190,37.016,43.878,28.769,49.379,41.786,26.567,27.135,25.746,25.809,25.280,24.559,31.045,25.395,30.331,25.638,32.934,27.778,25.809,26.998,30.147,29.199,25.622,57.866,33.193,26.466,21.188,46.223,33.052,43.414,40.237,35.593,21.962,66.160,32.252,69.869,58.221,59.863,33.722,32.680,29.660,47.672,29.451,28.141,28.953,26.776,27.761,26.360,25.420,47.863,28.609,71.227,22.604,24.719,22.647,25.201,24.019,30.032,40.830,40.877,27.254,39.335,67.749,36.493,65.533,47.829,30.241,48.029,49.345,34.546,39.501,25.801,23.522,28.179,50.473,22.572,19.606,27.214,22.936,24.737,20.653,36.501,20.255,24.820,22.610,25.038
7,25.933,69.280,37.239,39.927,36.570,43.383,28.719,49.807,41.323,26.929,27.947,25.681,25.886,25.286,24.398,30.795,25.119,31.379,25.572,32.261,27.771,25.983,27.074,30.054,29.313,25.573,56.611,32.893,26.451,21.364,44.702,32.608,41.773,42.226,35.273,22.352,68.487,32.351,70.454,59.919,73.748,33.791,32.770,29.837,46.408,29.080,28.408,29.172,26.647,27.725,26.272,25.122,48.083,28.821,71.822,22.778,24.723,22.703,25.436,24.079,31.028,41.671,42.654,27.224,40.045,69.397,36.879,68.023,46.646,30.699,54.285,49.787,34.177,39.686,26.243,23.697,29.008,51.580,23.113,19.872,27.428,23.067,24.514,20.702,38.882,20.287,25.217,22.673,25.540
8,26.367,69.395,37.430,40.696,37.644,43.610,28.706,50.184,41.449,27.482,29.337,25.525,26.052,25.217,24.715,30.815,25.305,31.346,25.968,32.911,28.201,25.815,28.131,31.436,29.746,25.850,55.730,33.089,26.325,21.283,54.663,34.409,41.411,43.625,35.545,23.223,71.698,32.988,71.101,61.149,88.364,34.943,32.472,29.527,48.906,29.507,28.091,28.553,26.886,28.151,26.335,25.322,48.688,30.129,71.899,22.864,24.515,23.147,25.578,24.002,34.847,43.381,45.826,27.987,42.052,66.855,38.170,70.234,47.553,31.540,58.029,49.830,35.003,39.552,27.025,24.297,30.618,53.976,27.640,20.988,28.568,23.156,24.617,21.077,45.439,21.025,26.090,22.508,25.712
9,26.028,68.646,37.295,40.814,41.018,42.710,28.794,49.993,41.656,28.067,31.267,25.854,25.928,25.218,24.726,30.723,25.270,31.640,25.569,32.840,28.522,25.823,28.440,32.673,29.815,25.622,55.055,33.031,26.397,21.153,56.119,35.052,41.439,44.649,35.727,23.771,75.014,33.261,71.262,62.408,97.175,35.320,32.862,29.638,52.301,29.750,28.377,27.858,26.603,28.172,26.625,25.376,48.378,31.490,72.233,23.347,24.539,23.407,25.545,24.031,45.542,47.050,50.809,28.656,43.764,63.041,39.326,70.803,50.366,32.296,59.671,50.670,35.044,39.681,28.000,25.131,32.586,55.504,32.743,21.579,30.166,23.772,24.471,21.243,50.728,21.831,26.028,22.446,25.302
10,25.970,69.727,37.019,40.249,43.968,43.029,28.778,50.138,40.960,29.035,31.616,25.590,25.937,25.175,24.762,30.446,25.299,31.004,25.066,32.927,28.552,25.757,28.409,33.250,29.665,25.544,54.090,32.905,26.462,21.165,54.298,34.932,40.745,45.132,35.691,23.909,77.426,33.035,70.965,62.683,108.665,35.808,32.606,29.587,51.312,29.795,28.489,27.636,26.791,28.016,26.282,25.542,47.601,31.671,71.692,23.220,24.586,23.689,25.521,24.024,47.891,47.205,52.379,29.028,42.517,58.997,38.278,71.014,54.534,33.046,60.738,50.549,35.242,39.942,28.520,25.696,33.450,56.667,34.799,21.992,31.570,24.097,24.714,21.422,52.084,22.206,26.341,22.299,25.142
