 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46
1,22.043,24.014,18.597,23.134,20.959,20.219,19.872,19.317,21.783,18.776,19.631,19.756,17.756,19.708,32.896,42.039,36.469,19.488,17.071,20.157,65.666,38.523,26.840,31.911,74.685,41.918,27.418,59.315,41.747,61.991,98.822,31.543,24.454,24.768,25.986,24.797,27.306,33.487,28.593,26.210,24.970,24.504,21.822,21.269,21.701,22.066
2,22.852,25.091,18.869,23.609,21.190,20.460,20.010,19.601,22.031,19.103,19.664,20.013,18.315,20.112,33.871,44.172,37.127,19.718,17.317,20.425,64.806,39.320,27.467,32.662,86.141,46.308,27.862,59.750,44.249,66.980,101.000,31.724,25.104,25.131,26.400,25.258,28.318,37.623,30.272,26.534,25.424,25.214,22.410,21.680,22.192,22.729
3,22.777,24.530,18.964,23.583,21.179,20.590,20.056,19.596,22.042,19.269,19.331,19.930,18.355,19.802,34.714,46.917,37.082,19.717,17.155,20.296,60.524,38.762,27.568,31.739,81.824,48.349,27.410,56.938,43.654,64.189,99.420,31.121,24.371,24.728,25.641,24.756,27.867,34.755,29.164,26.554,25.687,25.056,22.327,21.630,22.080,22.674
4,22.658,24.454,18.846,23.808,21.170,20.515,20.000,19.681,21.943,19.196,19.455,19.886,18.355,19.895,34.586,48.622,36.898,19.646,17.177,20.268,57.971,40.375,27.461,31.702,85.371,49.426,27.541,55.128,45.087,69.237,101.228,30.316,23.811,24.830,25.290,24.904,28.028,34.050,29.746,26.517,25.413,25.056,22.257,21.470,22.000,22.743
5,23.049,25.112,18.893,23.801,21.543,20.868,20.070,19.638,22.617,19.178,19.752,20.075,18.875,19.950,35.361,52.522,39.196,19.665,17.182,20.087,66.770,41.216,27.560,33.735,89.152,56.052,27.631,61.230,47.165,77.993,102.893,30.102,23.950,25.788,25.555,25.371,28.415,33.558,30.185,26.683,25.446,25.488,22.653,21.918,22.266,22.751
6,23.832,26.144,18.877,23.829,21.699,21.278,20.408,19.685,22.890,19.114,19.587,20.263,19.242,19.959,35.014,54.296,38.755,19.722,17.155,20.394,71.780,41.624,27.652,33.362,89.013,54.324,28.478,63.869,46.418,76.892,101.150,29.378,24.429,25.405,26.495,25.244,29.078,35.028,29.085,26.859,25.583,25.603,22.567,22.347,22.369,22.569
7,24.262,26.274,18.944,23.657,21.613,21.203,20.135,19.508,23.186,19.290,19.518,20.176,19.603,19.709,36.011,54.260,40.057,19.613,17.051,20.321,71.498,41.680,27.626,32.622,95.699,54.044,30.407,64.621,46.501,83.463,100.232,29.228,26.311,25.326,27.331,26.417,30.252,45.635,29.967,26.546,25.528,25.786,22.500,22.406,22.225,22.741
8,23.995,26.358,18.717,23.653,21.563,20.613,20.123,19.681,22.978,19.107,19.397,20.225,19.703,19.683,37.157,53.730,40.282,19.664,17.169,20.157,71.967,41.731,27.610,32.101,96.955,53.005,31.134,64.118,45.463,84.822,98.362,28.571,26.182,25.047,27.198,26.169,30.041,49.992,28.910,26.599,25.658,25.198,22.482,22.368,22.286,22.614
9,23.499,25.500,18.820,23.611,21.435,20.592,20.135,19.672,22.849,19.078,19.160,20.103,19.687,19.651,36.664,52.516,38.853,19.716,17.127,20.425,67.916,41.008,27.465,34.657,92.011,52.019,29.694,62.093,44.355,84.847,99.345,28.417,25.268,24.509,26.385,25.444,29.334,46.585,28.236,26.459,25.479,25.163,22.265,22.219,21.906,22.743
10,23.191,24.623,18.889,23.525,21.317,20.469,20.069,19.542,22.668,19.160,19.154,20.183,19.364,19.524,35.218,49.858,38.110,19.813,17.137,20.826,62.323,40.045,27.671,34.388,84.829,48.929,28.291,58.699,43.052,80.961,98.057,28.069,24.343,24.299,25.648,25.046,28.472,41.034,27.045,26.344,25.476,25.246,22.278,22.016,21.924,22.607
11,23.055,24.121,18.866,23.671,21.344,20.560,20.017,19.666,22.521,19.210,18.956,20.087,19.081,19.522,34.396,47.065,37.820,19.910,17.160,21.638,57.647,39.914,27.533,33.220,77.928,46.566,27.537,55.567,42.342,79.982,94.957,27.888,23.404,24.101,25.036,24.911,27.975,36.428,26.125,26.320,25.369,24.849,22.129,22.039,21.754,22.660
12,22.693,24.059,18.735,23.551,21.123,20.535,20.039,19.568,22.325,18.954,19.052,20.051,18.696,19.537,34.036,44.881,37.094,19.791,17.259,21.467,54.143,41.787,27.491,32.331,72.397,43.868,27.041,53.363,41.355,75.242,93.070,27.516,23.064,23.946,24.405,24.552,27.864,33.059,25.685,26.269,25.298,24.552,22.112,21.838,21.703,22.561
13,22.305,23.719,18.782,23.440,21.083,20.435,20.123,19.445,22.200,19.174,18.912,19.926,18.623,19.472,33.675,43.275,36.845,19.758,17.239,21.321,51.287,41.640,27.239,31.688,67.789,42.986,26.877,51.431,40.637,70.408,90.168,27.391,22.646,23.852,24.012,24.427,27.390,30.561,25.090,26.149,25.302,24.607,21.892,21.678,21.739,22.392
14,22.166,23.479,18.755,23.433,21.118,20.399,20.033,19.653,22.160,19.162,18.904,20.001,18.278,19.517,33.368,41.848,36.939,19.754,17.329,21.268,49.396,42.385,27.498,31.235,63.613,41.574,26.664,49.261,40.067,66.417,87.188,27.181,22.629,23.840,23.722,24.202,27.330,29.248,25.130,26.070,25.386,24.702,22.069,21.621,21.865,22.574
15,22.202,23.587,18.802,23.359,21.101,20.494,20.067,19.573,22.077,18.986,18.821,20.013,18.154,19.446,33.604,40.561,37.147,19.760,17.303,21.059,47.057,42.213,27.407,30.681,59.869,40.830,26.537,47.752,39.253,62.278,83.734,27.041,22.514,23.852,23.626,24.217,27.210,28.105,24.961,25.983,25.444,24.448,22.057,21.566,21.672,22.549
16,22.056,23.313,18.779,23.644,20.979,20.380,19.814,19.579,21.897,19.169,18.923,19.995,18.079,19.357,32.936,39.524,36.604,19.775,17.320,21.063,45.375,42.625,27.192,30.362,57.584,40.316,26.310,46.196,38.915,59.183,81.136,27.022,22.336,23.741,23.430,24.109,27.078,27.327,24.712,25.949,25.337,24.194,22.000,21.336,21.708,22.387
17,22.131,23.406,18.878,23.539,20.934,20.390,20.042,19.609,21.841,19.242,19.019,19.956,18.079,19.556,32.954,39.051,36.849,19.785,17.307,21.003,43.934,42.250,27.340,30.220,55.443,39.297,26.616,45.218,38.580,56.370,80.589,27.016,22.311,23.632,23.483,24.219,27.092,29.785,24.497,26.006,25.287,24.147,22.020,21.130,21.632,22.433
18,21.857,23.525,18.819,23.667,21.029,20.437,19.943,19.603,21.910,19.103,19.270,19.936,18.064,19.560,32.711,38.802,36.824,19.665,17.290,20.564,45.424,42.501,27.286,30.049,57.291,38.901,27.381,46.444,37.986,54.083,79.818,28.707,23.043,23.960,23.841,24.190,26.861,33.439,24.482,26.011,25.422,24.540,22.114,21.007,21.910,22.251
19,21.921,24.155,18.809,23.588,21.113,20.526,20.016,19.642,21.841,19.080,19.788,19.927,18.070,19.631,33.011,39.011,36.596,19.726,17.365,20.655,53.241,41.655,27.131,29.808,61.915,38.805,28.119,52.286,38.168,54.325,78.856,31.302,23.225,24.437,24.029,24.239,27.708,35.220,24.736,26.042,25.509,24.738,22.065,21.251,21.918,22.487
20,21.821,23.858,18.668,23.512,21.055,20.462,20.020,19.514,21.780,19.089,19.620,19.934,17.918,19.766,33.007,39.396,36.690,19.736,17.210,20.324,52.634,40.905,27.160,29.806,64.760,38.538,28.216,51.669,37.705,53.794,78.791,30.648,23.429,24.210,23.884,24.274,27.795,36.632,24.591,26.035,25.301,24.675,22.124,21.235,21.862,22.569
21,21.701,24.073,18.840,23.472,21.015,20.376,19.923,19.623,21.794,19.000,19.565,20.025,17.954,19.574,32.879,40.390,36.563,19.739,17.186,20.397,52.622,40.720,27.238,29.801,69.957,38.261,28.825,51.717,37.809,53.752,81.799,29.836,23.857,24.227,24.238,24.150,27.324,37.180,25.813,26.101,25.424,24.571,22.304,21.313,21.757,22.622
22,22.095,24.427,18.728,23.431,21.095,20.333,20.000,19.521,21.806,19.176,19.807,19.985,18.007,19.761,33.300,40.948,37.131,19.743,17.165,20.460,56.777,41.134,27.339,31.794,74.397,39.912,29.019,54.836,38.450,56.600,82.155,29.505,24.307,24.812,24.991,24.221,27.157,38.769,28.487,26.362,25.403,24.484,22.351,21.500,21.775,22.592
23,22.088,23.925,18.813,23.676,21.040,20.351,19.872,19.633,21.824,19.226,19.614,19.903,18.070,19.720,33.257,40.157,36.918,19.820,17.253,20.707,53.924,40.594,27.160,31.647,69.379,39.486,27.716,52.284,38.272,54.636,81.606,28.869,23.661,24.464,24.460,24.156,27.258,35.084,27.687,26.166,25.238,24.472,22.265,21.445,21.736,22.469
24,21.926,23.614,18.831,23.676,21.002,20.510,19.993,19.640,21.696,19.148,19.510,19.765,17.883,19.647,32.907,38.782,36.971,19.760,17.227,20.770,50.541,41.463,27.289,31.304,64.272,38.821,26.892,49.475,38.038,52.206,81.422,28.474,22.875,24.173,24.023,24.021,27.174,31.778,26.484,26.189,25.359,24.317,22.124,21.395,21.750,22.409
25,21.744,23.461,18.751,23.461,20.930,20.371,19.888,19.627,21.659,19.160,19.369,19.923,17.817,19.576,32.693,37.879,36.788,19.712,17.352,20.697,47.541,41.013,27.117,30.701,59.840,38.195,26.892,47.900,37.897,49.711,79.325,27.945,22.657,24.109,23.654,23.961,27.748,30.033,25.704,25.994,25.285,24.250,22.006,20.995,21.670,22.462
26,21.908,24.199,18.670,23.475,21.053,20.305,20.032,19.588,21.646,19.167,20.223,19.850,18.029,19.831,33.243,38.029,36.376,19.605,17.196,20.540,54.785,41.655,27.075,31.468,66.485,37.962,27.209,51.398,37.676,51.856,80.935,27.983,22.936,24.753,24.132,23.921,27.740,33.620,26.949,26.161,25.339,24.675,22.047,21.174,21.727,22.534
27,21.882,24.187,18.835,23.653,20.906,20.437,19.918,19.699,21.643,19.205,21.094,20.051,18.282,20.187,33.182,37.615,36.604,19.715,17.255,20.693,61.357,41.260,27.295,32.332,68.317,38.184,28.235,55.827,37.638,53.206,80.524,27.764,23.414,24.975,24.755,24.417,27.421,35.610,27.060,26.232,25.345,24.675,22.282,21.180,21.985,22.528
28,22.312,24.667,18.900,23.597,21.181,20.535,20.003,19.514,21.819,19.116,21.678,20.054,18.288,20.585,33.679,38.473,36.780,19.817,17.149,20.401,67.113,40.628,27.499,33.265,78.264,40.651,29.601,59.529,38.563,56.957,81.360,27.603,23.736,25.084,25.496,24.969,27.567,40.054,28.161,26.628,25.534,25.464,22.402,21.555,22.011,22.459
29,22.197,24.110,18.873,23.583,21.174,20.364,19.977,19.610,21.844,19.087,21.802,19.942,18.495,20.333,33.471,39.953,37.106,19.735,17.213,20.380,65.502,39.878,27.209,34.042,80.072,43.766,29.541,57.612,38.683,58.928,83.023,27.674,24.175,24.593,25.069,24.614,27.507,40.348,27.831,26.400,25.472,24.940,22.706,21.562,21.851,22.473
30,22.186,23.760,18.844,23.528,21.100,20.419,19.993,19.612,21.752,19.208,21.229,19.971,18.478,20.109,32.957,39.406,37.918,19.626,17.247,20.185,62.239,39.561,27.089,33.048,75.472,42.632,28.877,54.940,38.722,57.011,83.763,27.328,23.854,24.390,24.798,24.255,27.374,37.971,26.743,26.658,25.146,24.722,22.363,21.582,21.821,22.467
31,22.012,23.644,18.835,23.586,21.161,20.556,20.085,19.462,21.770,18.929,20.567,19.870,18.044,19.898,32.986,38.532,39.110,19.674,17.148,20.188,61.919,38.932,27.088,32.136,69.936,41.104,28.336,55.953,37.813,54.422,82.826,27.379,23.411,24.830,24.377,24.212,27.336,37.010,25.794,26.579,25.180,24.798,22.337,21.616,21.931,22.451
32,21.874,23.612,18.719,23.514,21.031,20.401,20.004,19.627,21.664,19.094,20.061,20.028,17.949,19.786,32.854,37.444,38.233,19.586,17.227,20.247,58.281,38.921,27.223,31.339,68.480,39.937,28.515,53.637,37.637,51.257,82.287,27.219,23.100,24.286,23.940,24.224,27.001,35.946,25.342,26.239,25.310,24.587,22.178,21.626,21.946,22.561
33,21.888,23.187,18.706,23.444,21.062,20.421,19.993,19.635,21.564,19.212,19.854,19.919,17.954,19.788,32.621,37.902,37.237,19.668,17.160,20.185,54.128,38.530,26.963,30.750,65.680,39.374,27.299,51.018,36.993,48.860,81.389,27.133,22.664,24.331,23.332,24.087,26.947,33.139,24.961,26.141,25.339,24.385,22.135,21.411,21.742,22.480
34,21.766,23.418,18.728,23.363,21.054,20.344,19.937,19.610,21.593,19.205,19.471,19.879,17.892,19.652,32.961,37.694,37.445,19.737,17.098,20.345,51.026,38.299,27.100,30.371,61.283,38.516,27.332,48.971,36.886,47.034,80.798,27.071,22.661,24.067,23.128,24.003,26.886,30.514,24.613,26.151,25.181,24.452,22.014,21.372,21.609,22.574
35,21.717,23.395,18.904,23.685,21.021,20.508,20.037,19.542,21.686,19.105,19.237,19.845,17.740,19.538,32.254,36.982,37.045,19.669,17.183,20.477,48.485,38.376,27.215,30.088,57.525,37.783,26.530,47.278,36.731,45.452,78.626,26.872,22.511,23.773,23.044,23.868,26.783,28.965,24.433,26.020,25.378,24.317,22.112,21.265,21.644,22.506
36,21.583,23.203,18.791,23.481,20.932,20.378,20.033,19.456,21.564,19.084,19.223,19.936,17.701,19.455,32.757,36.319,36.910,19.706,17.017,20.418,46.406,38.129,27.107,29.880,54.504,37.577,26.556,45.577,36.402,44.070,75.751,26.852,22.114,23.679,22.962,23.932,26.726,27.590,24.324,25.930,25.372,24.325,21.961,21.226,21.719,22.334
37,21.546,23.301,18.822,23.567,20.933,20.576,19.979,19.590,21.529,19.142,19.215,19.794,17.842,19.567,32.475,35.491,36.710,19.761,17.186,20.613,44.598,37.884,27.129,29.847,52.739,37.214,26.291,44.359,36.482,42.828,73.103,26.598,22.371,23.869,23.116,23.889,26.745,27.082,24.258,25.856,25.261,24.504,22.071,21.023,21.593,22.505
38,21.637,23.338,18.735,23.387,20.862,20.410,19.928,19.618,21.492,19.100,19.074,19.985,17.725,19.531,32.521,35.015,36.800,19.844,17.258,21.265,43.032,37.796,27.084,29.622,51.035,37.203,26.340,43.024,36.181,42.246,70.484,26.714,22.414,23.802,22.998,23.961,26.666,26.610,24.087,25.937,25.296,24.143,21.904,20.918,21.644,22.455
39,21.498,23.295,18.760,23.532,20.967,20.360,19.948,19.622,21.475,19.253,18.994,19.920,17.778,19.476,32.932,34.555,36.580,19.782,17.349,21.087,41.783,37.702,27.189,29.638,49.032,36.838,26.220,42.179,35.980,41.208,68.103,26.467,21.954,23.726,22.895,23.730,26.554,26.902,24.057,26.189,25.244,24.111,22.004,20.824,21.650,22.597
