 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38
1,41.699,23.142,30.003,29.390,25.158,27.506,23.961,20.603,20.416,30.563,19.511,22.491,26.017,22.582,24.626,21.314,22.676,22.718,19.684,24.174,19.566,17.652,18.184,16.971,20.755,15.596,19.532,21.552,21.767,17.933,18.886,56.142,29.776,19.458,15.495,23.980,17.577,22.200
2,41.374,23.230,30.134,29.569,25.124,27.351,24.066,20.622,20.668,30.608,19.707,22.524,25.967,22.305,24.940,21.386,23.215,22.908,19.927,24.088,19.932,17.679,18.372,16.976,20.618,15.444,19.528,21.569,21.897,18.061,18.837,56.307,29.875,19.534,15.536,23.581,17.593,22.184
3,41.314,23.510,30.207,29.680,25.060,27.266,23.930,20.659,20.480,30.663,19.613,22.358,25.989,22.201,25.003,21.452,23.147,22.945,19.987,24.080,19.657,17.630,18.179,16.993,20.573,15.538,19.592,21.310,21.784,17.990,18.682,56.448,30.287,19.616,15.545,23.585,17.587,22.052
4,41.427,23.244,30.055,29.405,25.134,27.114,23.809,20.548,20.432,30.964,19.583,22.412,26.116,22.319,24.697,21.342,22.711,22.940,19.906,24.142,19.745,17.777,18.474,17.005,20.763,15.560,19.431,21.611,21.793,18.099,18.853,56.608,30.371,19.487,15.514,23.683,17.511,22.311
5,41.357,23.236,30.439,29.094,25.046,27.269,24.270,20.548,20.407,30.940,19.919,22.261,26.146,22.925,24.841,21.466,22.165,22.803,19.984,24.234,19.546,17.620,18.547,17.075,20.675,15.400,19.528,21.444,21.603,18.078,18.737,56.285,29.974,19.451,15.473,23.886,17.514,22.113
6,41.476,23.214,30.095,29.349,25.294,27.533,23.866,20.584,20.401,30.642,19.744,22.209,26.054,22.664,24.799,21.432,22.929,22.855,20.015,24.134,19.574,17.902,18.338,16.892,20.758,15.458,19.599,21.305,21.966,18.247,18.940,56.463,30.213,19.513,15.506,23.801,17.508,22.271
7,41.523,23.290,30.095,29.311,25.182,27.332,23.979,20.518,20.536,30.928,19.595,21.940,26.043,22.473,24.692,21.536,22.822,22.852,20.021,24.209,19.777,17.810,18.346,17.123,20.696,15.311,19.531,21.565,21.853,18.038,18.743,55.875,30.283,19.602,15.553,23.732,17.451,22.184
8,41.458,23.455,30.204,29.314,25.237,27.496,23.962,20.623,20.498,30.518,19.894,22.181,26.177,22.403,24.848,21.283,22.477,22.917,19.929,24.154,19.645,18.071,18.329,17.005,20.803,15.560,19.558,21.439,21.753,17.992,18.784,56.441,29.941,19.591,15.467,23.866,17.625,22.165
9,41.550,23.271,30.165,29.422,24.972,27.305,23.898,20.664,20.393,30.467,19.838,22.119,26.021,22.681,24.657,21.407,22.124,22.925,19.931,24.126,19.470,17.783,18.415,17.062,20.671,15.680,19.613,21.619,21.672,17.998,18.810,56.229,30.147,19.633,15.493,23.659,17.571,22.255
10,41.599,23.332,29.876,29.185,25.106,27.433,23.868,20.664,20.585,30.723,19.621,22.211,26.124,22.699,24.732,21.344,22.609,22.816,20.010,24.277,19.430,17.875,18.517,17.034,20.576,15.569,19.490,21.732,21.770,18.029,18.792,55.809,30.132,19.543,15.572,23.545,17.511,22.292
11,41.525,23.181,30.215,29.273,25.134,27.341,23.937,20.483,20.496,30.605,19.424,21.993,26.151,22.549,24.654,21.492,22.631,22.819,19.871,24.218,19.713,17.886,18.342,17.019,20.836,15.569,19.679,21.381,21.624,18.057,18.785,55.862,30.180,19.549,15.492,23.565,17.587,22.149
12,41.492,23.258,30.375,29.220,25.022,27.366,23.968,20.621,20.492,30.572,19.215,22.043,26.166,22.198,24.659,21.413,22.374,22.821,19.905,24.120,19.622,17.832,18.017,17.024,20.710,15.600,19.588,21.540,21.543,18.089,18.749,56.134,29.996,19.625,15.512,23.728,17.508,22.200
