 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36
1,31.546,19.925,31.944,16.317,19.869,14.935,102.736,74.711,49.153,32.704,66.215,32.477,23.071,25.627,33.065,70.241,45.906,37.228,123.717,58.602,41.585,28.756,93.612,21.726,37.931,62.937,26.197,18.018,32.278,25.652,17.360,24.720,14.150,22.315,15.264,14.154
2,31.201,19.966,31.695,16.183,19.832,15.103,102.796,73.986,49.105,32.127,66.160,32.555,22.661,25.373,32.888,69.184,45.437,36.953,124.422,57.611,40.741,29.151,93.297,21.530,38.051,62.458,26.490,17.945,31.785,25.812,17.355,24.559,14.059,22.364,15.471,14.172
3,31.247,20.043,31.510,16.120,19.909,14.956,102.719,74.115,49.066,32.395,66.060,32.297,22.310,25.222,33.112,69.014,45.390,37.063,123.515,57.744,40.369,29.103,93.614,21.318,37.756,62.810,25.841,17.988,32.114,26.015,17.328,24.502,14.134,22.355,15.380,14.030
4,31.279,19.957,31.676,16.207,19.716,14.881,102.964,73.783,49.044,32.450,66.171,32.380,21.952,25.232,33.228,68.338,45.299,36.685,123.809,58.194,40.245,28.670,93.358,21.173,37.785,62.371,26.159,17.826,31.870,25.752,17.213,24.192,14.041,22.227,15.565,14.069
5,31.392,19.804,31.873,15.911,19.884,14.824,102.931,73.365,48.834,32.168,65.945,32.346,21.763,25.155,32.939,68.397,45.398,36.958,123.812,58.095,39.712,29.192,93.543,20.880,37.945,62.116,26.631,18.065,31.952,26.035,17.230,24.297,14.036,22.217,15.570,14.170
6,31.365,19.899,31.526,15.972,19.869,14.883,102.851,73.592,49.213,32.468,66.138,32.443,21.531,25.016,32.874,67.869,45.157,36.721,124.107,57.204,39.259,28.603,93.441,20.889,37.855,61.984,26.452,17.830,32.060,25.908,17.214,24.194,14.107,22.303,15.421,14.113
7,31.596,19.783,31.673,15.928,19.764,14.904,102.968,73.409,49.103,32.491,65.672,32.115,21.464,24.874,33.077,67.886,45.552,36.909,123.284,56.583,38.927,29.022,93.248,20.608,37.971,61.798,26.350,17.907,32.012,25.700,17.152,23.978,14.051,22.227,15.284,14.122
8,31.329,19.758,31.430,15.963,19.880,14.887,103.488,73.640,49.460,32.695,66.438,32.317,21.055,24.777,33.299,67.536,45.200,36.982,122.638,57.948,38.394,28.946,93.459,20.761,37.907,61.394,26.573,17.933,31.796,25.831,17.104,23.890,14.045,22.257,15.498,14.085
9,31.384,19.713,31.262,15.941,19.947,14.912,103.074,73.448,48.886,32.666,66.329,32.309,21.025,24.652,33.067,67.172,45.328,37.055,122.366,57.611,38.332,29.250,92.829,20.830,37.772,61.588,26.255,17.858,31.743,25.868,17.193,24.099,14.061,22.320,15.327,13.952
10,31.399,19.948,31.582,15.789,19.933,14.973,103.744,74.008,49.449,32.522,66.754,32.282,20.834,24.495,32.919,66.604,45.476,36.812,121.891,57.431,37.935,28.926,93.344,20.640,38.024,61.585,26.108,17.810,31.802,25.559,16.958,23.681,14.171,22.318,15.212,14.143
11,31.413,19.703,31.599,15.626,19.549,14.904,102.239,72.689,48.899,31.970,66.087,32.754,20.561,24.359,32.995,66.508,45.251,36.747,122.445,57.896,37.918,29.074,92.848,20.579,37.927,61.694,26.287,17.965,31.875,25.712,17.103,23.976,14.127,22.264,15.339,14.062
12,31.196,19.370,31.451,15.659,19.423,15.103,101.186,72.509,47.987,31.818,65.496,31.968,20.421,24.161,32.865,65.266,45.296,36.294,123.144,57.512,37.695,28.702,91.906,20.295,37.939,61.405,25.879,18.023,31.815,25.783,17.008,23.808,14.020,22.140,15.421,14.216
13,30.894,19.491,31.398,15.641,19.579,14.906,102.011,72.382,48.504,32.161,65.220,31.853,20.336,23.994,32.821,65.352,45.042,36.521,122.100,57.607,37.136,28.574,91.892,20.266,38.114,61.498,25.847,18.020,31.947,25.729,17.007,23.683,14.080,22.115,15.387,14.097
14,31.091,19.404,31.185,15.935,19.425,14.740,100.231,71.397,48.246,32.077,65.088,31.667,20.206,23.946,32.208,64.325,44.199,36.013,121.784,55.995,36.888,28.019,88.793,19.652,37.365,59.553,25.898,17.616,31.422,25.460,17.019,23.553,14.108,22.358,15.519,14.069
15,31.111,19.424,31.274,15.857,19.568,14.878,101.044,71.588,48.705,31.917,65.118,31.678,20.257,23.818,32.420,64.437,43.833,36.112,121.820,55.919,36.353,28.099,89.707,19.620,37.251,59.312,26.484,17.913,30.992,25.492,16.900,23.352,14.110,22.231,15.558,14.271
16,31.081,19.674,31.380,15.615,19.690,15.138,101.537,72.045,48.743,32.166,66.145,31.702,20.276,23.998,32.536,64.447,44.487,36.552,121.832,56.057,36.322,28.006,91.224,19.655,37.234,59.046,26.395,17.765,30.865,25.560,16.912,23.152,14.164,22.367,15.500,14.156
17,31.110,19.436,31.212,15.817,19.800,14.870,101.633,72.143,48.776,32.336,65.597,31.656,20.158,24.091,32.827,64.800,44.397,36.535,122.625,56.654,36.139,28.558,92.537,19.778,37.479,59.879,26.204,17.868,31.189,25.524,16.885,23.423,14.009,22.199,15.459,14.154
