 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56
1,13.133,12.675,19.304,17.269,62.809,32.187,17.754,18.397,14.050,39.869,29.377,22.722,16.561,28.133,61.303,17.626,14.023,17.570,12.107,12.727,20.919,10.241,11.938,12.034,11.808,12.117,9.733,9.406,10.228,15.853,35.807,15.938,24.567,12.541,13.747,11.821,14.794,11.635,10.359,16.651,23.301,13.756,18.498,11.924,12.134,13.595,13.017,15.574,12.276,12.987,23.602,13.002,12.338,13.619,13.232,10.726
2,13.070,12.609,19.187,17.230,62.665,31.787,17.513,18.111,14.104,39.613,29.021,22.791,16.343,27.793,61.444,17.285,13.899,17.452,11.948,12.716,20.720,10.287,12.012,11.887,11.766,12.080,9.877,9.435,10.371,15.874,35.839,15.897,24.482,12.594,13.835,11.775,14.970,11.663,10.275,16.843,23.104,13.617,18.504,12.016,12.020,13.647,12.866,15.474,12.246,13.143,23.518,13.076,12.364,13.647,13.193,10.723
3,13.008,12.678,18.928,17.095,62.485,31.145,17.571,18.172,14.177,39.587,28.699,22.765,16.268,27.991,61.219,17.029,13.858,17.546,12.031,12.731,20.829,10.283,11.877,11.915,11.707,12.097,9.690,9.412,10.272,15.818,35.772,15.845,24.508,12.512,13.762,11.867,14.745,11.682,10.348,16.638,23.313,13.491,18.330,11.908,12.125,13.676,12.905,15.474,12.361,13.181,23.482,13.079,12.335,13.661,13.288,10.743
4,12.930,12.483,18.873,17.080,61.998,30.967,17.550,18.312,14.114,39.325,28.287,22.663,15.999,27.821,60.993,16.765,13.741,17.430,11.985,12.811,20.735,10.173,11.889,11.979,11.767,12.038,9.706,9.400,10.235,15.690,35.204,15.706,24.552,12.570,13.766,11.847,14.881,11.610,10.328,16.601,23.451,13.500,18.113,11.952,12.035,13.555,12.929,15.291,12.223,13.106,23.509,12.936,12.160,13.606,13.195,10.836
5,13.005,12.534,18.572,16.870,61.653,30.494,17.356,18.239,14.083,38.808,28.248,22.512,15.944,27.820,60.930,16.578,13.750,17.291,12.006,12.647,20.748,10.219,11.818,11.820,11.656,12.020,9.784,9.380,10.264,15.614,35.523,15.667,24.581,12.500,13.785,11.785,14.797,11.666,10.260,16.748,23.573,13.388,18.035,11.945,11.982,13.657,12.871,15.253,12.354,13.063,23.702,12.855,12.230,13.578,13.198,10.795
6,12.893,12.400,18.547,17.015,61.654,30.484,17.406,18.221,14.070,38.924,27.945,22.546,15.783,27.689,60.878,16.397,13.633,17.042,11.862,12.562,20.794,10.154,11.844,11.990,11.708,11.952,9.739,9.440,10.248,15.574,35.188,15.713,24.485,12.522,13.763,11.768,14.967,11.632,10.264,16.514,23.044,13.318,18.051,11.960,12.081,13.579,12.802,15.554,12.234,13.173,23.674,13.074,12.379,13.675,13.024,10.764
7,12.945,12.416,18.435,17.010,61.489,30.243,17.474,18.152,14.021,38.791,27.920,22.675,15.716,27.470,60.733,16.205,13.750,17.145,11.929,12.502,20.793,10.168,11.822,11.971,11.688,12.013,9.741,9.424,10.246,15.509,35.380,15.706,24.412,12.534,13.685,11.843,14.775,11.573,10.254,16.521,22.956,13.377,17.791,11.937,11.893,13.523,12.893,15.391,12.162,12.973,23.637,12.950,12.234,13.644,13.066,10.761
8,13.026,12.453,18.430,16.977,61.358,29.813,17.361,18.164,14.058,38.487,27.537,22.596,15.604,27.439,60.960,15.918,13.635,17.212,12.040,12.472,20.650,10.179,11.951,11.896,11.650,12.017,9.766,9.394,10.200,15.379,35.283,15.616,24.365,12.483,13.622,11.770,14.824,11.511,10.248,16.653,23.192,13.206,17.765,11.888,12.005,13.512,12.893,15.491,12.221,13.096,23.705,12.981,12.234,13.689,13.137,10.793
9,12.966,12.424,18.307,16.897,61.383,29.568,17.351,18.199,14.087,38.489,27.518,22.625,15.516,27.555,60.743,15.783,13.697,17.200,11.889,12.525,20.668,10.184,11.834,11.862,11.698,12.090,9.784,9.404,10.241,15.465,35.345,15.692,24.477,12.505,13.629,11.768,14.851,11.586,10.243,16.473,23.124,13.186,17.788,11.898,12.044,13.512,12.888,15.384,12.234,13.042,23.515,12.847,12.323,13.609,13.069,10.753
10,12.883,12.441,18.240,16.926,61.366,29.080,17.312,18.256,14.087,38.161,27.325,22.765,15.277,27.466,61.004,15.679,13.617,17.100,11.889,12.615,20.684,10.189,11.824,11.879,11.730,12.008,9.768,9.423,10.176,15.496,35.352,15.667,24.402,12.473,13.490,11.791,14.659,11.698,10.213,16.696,22.982,13.155,17.838,11.909,12.015,13.511,12.861,15.727,12.215,13.058,23.360,12.950,12.375,13.657,13.177,10.730
11,13.070,12.675,18.221,17.093,61.118,28.833,17.272,18.379,14.107,39.005,27.470,22.568,15.263,27.316,60.790,15.651,13.677,17.183,11.994,12.564,20.743,10.161,11.906,11.934,11.700,12.067,9.797,9.417,10.280,15.436,35.285,15.591,24.397,12.599,13.546,11.848,14.715,11.563,10.302,16.517,23.171,13.208,17.807,11.883,12.102,13.544,12.912,15.498,12.253,13.093,23.664,12.977,12.290,13.775,13.298,10.820
12,13.219,14.029,18.174,17.050,61.674,28.837,17.330,19.014,14.481,40.832,31.999,22.684,16.872,27.396,60.873,16.393,15.640,17.444,12.193,12.609,20.861,10.194,11.777,11.866,11.842,12.178,9.788,9.403,10.329,15.924,35.478,15.764,24.544,12.843,13.647,11.852,14.873,11.606,10.321,16.729,23.365,13.499,18.176,11.955,12.461,13.661,12.963,15.893,12.381,13.145,24.581,13.068,12.353,13.813,13.515,10.821
13,13.443,15.039,18.756,17.206,62.244,29.311,17.757,19.160,14.869,43.358,34.333,22.936,17.704,27.882,61.210,17.146,16.112,18.095,12.434,12.814,21.147,10.209,12.000,11.856,12.043,12.183,9.986,9.479,10.339,16.631,35.819,15.920,24.678,12.925,13.815,12.012,15.228,11.695,10.353,16.688,23.733,13.605,18.591,12.110,12.913,13.787,13.232,16.107,12.639,13.198,24.870,13.122,12.394,13.893,13.662,10.745
14,13.497,16.042,19.415,17.288,62.564,30.130,17.626,19.874,15.279,43.668,34.777,22.888,19.290,29.112,61.402,18.110,16.356,18.347,12.811,13.626,21.240,10.243,11.797,11.955,12.079,12.235,10.281,9.445,10.315,16.549,35.798,15.869,24.693,12.845,14.020,11.989,15.214,12.067,10.421,16.715,24.008,14.040,18.686,12.170,13.365,14.159,13.800,16.612,12.734,13.106,25.588,13.066,12.524,13.965,13.797,10.793
15,13.544,16.082,19.430,17.107,62.853,30.177,17.893,19.916,15.140,42.781,35.799,22.923,18.695,29.467,61.239,18.261,15.576,18.519,12.706,14.099,21.254,10.327,11.887,11.966,11.958,12.178,10.025,9.462,10.249,16.550,35.879,15.886,24.561,12.715,14.158,11.961,15.222,12.473,10.401,16.795,23.687,13.709,18.615,12.269,13.460,14.320,13.863,16.412,12.735,13.151,26.064,13.149,12.736,13.789,13.818,10.766
16,13.703,16.214,19.343,17.297,62.865,30.882,18.097,20.764,15.084,42.104,36.444,22.706,18.165,29.279,61.238,17.856,15.495,18.740,12.753,14.209,21.184,10.194,11.947,11.988,11.971,12.160,10.023,9.458,10.337,16.260,35.938,15.879,24.558,12.710,14.213,11.944,15.203,12.830,10.348,16.895,23.873,13.650,18.515,12.182,13.421,14.314,13.895,16.547,12.868,13.271,26.346,13.225,12.428,13.927,13.910,10.756
