 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46
1,130.410,85.803,55.416,66.875,58.125,64.881,60.071,102.461,91.151,87.908,132.547,62.141,77.744,63.713,70.626,80.868,87.877,60.654,68.038,88.472,63.956,94.403,75.195,77.142,88.328,64.322,80.151,79.424,64.063,59.926,67.200,58.970,59.248,62.623,80.073,71.865,70.537,72.812,71.660,63.326,69.836,73.150,69.291,74.416,65.938,69.600
2,176.267,110.536,62.578,80.484,66.514,76.548,69.891,134.529,118.762,113.250,178.848,73.425,98.234,76.490,87.232,103.147,114.355,71.613,82.581,114.277,76.522,123.557,92.106,97.154,112.801,76.728,101.157,98.013,75.602,69.285,80.000,67.711,67.780,72.833,100.132,87.880,86.499,90.028,89.059,77.390,84.683,91.841,85.305,93.548,83.892,87.981
3,177.132,111.722,62.608,80.181,67.419,77.139,69.942,135.205,118.270,113.414,178.775,74.201,99.724,75.432,88.285,103.892,113.645,71.608,82.697,115.335,75.791,123.634,88.242,96.873,111.892,77.353,101.978,100.311,75.797,68.879,79.849,67.996,68.153,73.507,102.030,88.038,86.780,89.657,89.054,76.489,85.213,92.305,85.346,92.642,80.775,92.211
4,178.395,110.187,62.805,80.932,66.892,76.717,69.326,135.891,117.836,113.865,179.318,73.156,100.043,75.527,87.383,103.283,113.620,71.637,81.971,114.730,76.418,124.089,87.360,97.019,112.602,76.817,101.614,99.954,76.432,69.146,80.474,68.611,68.239,72.812,99.658,86.534,86.734,89.540,88.361,75.709,85.363,89.970,84.965,92.462,79.761,88.008
5,175.816,109.971,63.265,80.675,66.656,76.360,69.323,134.603,118.537,113.047,179.836,73.038,98.460,75.722,86.919,103.564,114.907,71.100,82.819,113.516,76.055,124.250,89.010,96.273,113.193,76.825,101.419,99.503,76.029,69.666,80.392,67.930,68.448,73.250,100.554,85.556,86.348,89.413,86.902,76.277,85.323,91.974,85.772,93.089,77.755,87.026
6,177.023,109.592,62.961,80.032,66.447,79.627,69.815,135.643,116.360,112.905,179.189,73.047,97.332,75.592,87.165,103.580,113.907,70.363,82.693,114.958,75.813,123.927,89.709,96.454,113.807,76.238,101.349,99.960,75.219,69.110,80.397,66.985,68.259,74.031,100.737,87.316,86.636,89.822,88.263,75.801,84.795,91.953,84.101,92.269,76.908,85.898
7,175.709,109.931,62.810,79.958,66.813,81.067,70.038,134.468,117.611,114.403,179.350,73.448,98.593,75.365,86.774,102.752,114.104,71.096,82.286,114.904,75.758,124.154,91.197,96.481,112.524,76.097,101.724,99.510,75.688,68.611,79.825,67.687,68.188,73.605,100.790,86.406,86.184,89.761,88.204,75.858,84.674,91.747,85.643,92.827,76.239,84.925
8,175.549,109.627,63.020,80.633,66.447,79.937,70.441,135.866,118.476,113.694,179.055,73.792,96.766,75.630,87.729,102.647,114.500,71.433,82.154,114.562,75.429,123.501,91.285,96.442,112.726,77.060,101.235,100.881,75.530,68.520,79.962,67.733,68.031,72.665,100.129,86.812,86.432,89.099,88.562,76.241,83.977,90.481,85.282,92.413,76.036,85.472
9,176.929,109.351,63.033,80.484,66.335,79.204,69.535,135.238,117.701,113.727,178.738,73.418,98.166,75.263,86.760,103.658,113.664,71.704,81.876,114.616,75.901,123.681,91.671,96.177,112.949,76.728,101.259,99.172,75.749,69.309,80.337,67.643,68.213,73.638,100.056,86.714,86.297,89.085,87.771,75.816,84.960,91.026,86.222,92.079,75.971,84.789
10,176.004,109.317,62.593,79.697,66.703,77.804,70.011,134.757,117.296,113.448,179.223,72.810,97.369,74.828,87.419,103.083,112.973,70.713,82.358,114.075,76.440,123.527,91.313,96.650,113.386,76.440,101.743,98.576,75.737,68.613,80.849,68.354,68.353,73.371,99.509,86.128,86.960,89.606,88.464,76.511,84.902,92.232,85.285,92.312,75.356,83.996
