 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28
1,26.936,34.180,29.081,22.373,25.213,32.179,46.090,36.706,36.772,23.328,35.299,31.997,28.626,32.592,32.561,31.960,22.832,22.877,22.566,25.659,34.593,32.641,30.778,29.271,30.794,44.321,32.840,48.065
2,30.468,41.113,33.824,24.852,28.767,38.068,56.627,44.389,44.550,25.941,42.518,37.877,33.197,38.458,38.896,37.479,25.037,25.348,25.045,28.995,41.672,39.178,36.711,34.433,36.892,54.227,38.613,59.596
3,30.613,40.904,33.621,24.865,28.580,38.009,56.165,44.311,44.230,26.189,42.266,37.974,33.298,38.376,39.021,37.574,25.138,25.097,25.016,28.940,41.210,39.036,36.278,34.293,36.616,54.358,38.677,59.610
4,30.372,40.943,34.029,24.725,28.524,38.172,56.370,44.352,44.132,25.736,42.778,37.655,32.961,38.316,38.872,37.686,24.948,25.360,24.923,28.828,41.152,38.772,36.427,34.453,36.778,54.523,38.063,59.002
5,30.613,40.952,33.691,25.026,28.796,38.227,56.548,44.104,44.213,25.764,42.302,37.668,32.931,38.589,38.922,37.537,24.918,25.140,25.182,29.049,41.019,39.101,36.474,34.273,36.672,55.007,38.340,59.493
6,30.356,40.933,33.430,24.923,28.493,38.272,56.520,43.984,44.331,25.918,42.293,37.483,32.924,38.108,38.810,37.513,25.057,25.213,25.220,29.310,41.251,38.937,36.425,34.547,36.902,54.890,38.410,58.897
7,30.583,40.797,33.831,24.738,28.657,38.044,56.253,44.057,44.307,26.057,42.186,37.980,32.784,38.132,38.893,37.420,24.836,25.443,25.134,28.857,41.197,38.694,36.541,34.308,36.632,54.911,38.280,59.057
8,30.407,40.646,33.835,24.778,28.593,38.076,56.094,44.299,44.307,25.754,41.961,37.714,32.812,38.518,39.090,37.771,24.884,24.992,25.118,28.534,41.368,38.641,36.193,34.177,36.844,54.500,37.973,59.186
9,30.718,40.736,33.419,24.963,28.528,37.937,56.051,43.986,44.009,25.900,42.434,37.765,32.794,38.476,38.926,37.527,24.906,25.289,24.773,28.901,41.418,38.890,36.218,34.170,36.561,54.541,38.233,58.786
10,30.336,40.562,33.537,25.095,28.474,37.969,55.867,44.045,44.101,25.936,42.263,37.864,32.704,38.797,38.807,37.793,24.907,25.196,24.973,28.938,41.066,38.926,36.208,34.360,36.712,54.615,38.290,58.814
11,30.618,40.530,33.643,24.852,28.485,37.889,56.313,43.951,44.300,26.053,42.401,37.844,32.562,38.566,38.832,37.638,24.852,25.123,24.955,28.888,41.107,38.865,36.287,34.360,36.571,54.908,38.157,58.646
12,30.641,40.780,33.835,25.045,28.306,37.908,55.991,43.994,44.298,25.748,42.105,37.512,32.667,38.755,39.219,37.617,25.012,25.049,25.002,28.763,41.077,38.837,35.959,34.318,36.656,54.438,38.310,58.804
13,30.405,40.832,33.790,24.976,28.731,37.861,56.066,43.757,44.211,25.908,42.263,37.435,32.924,38.571,38.663,37.279,24.978,25.123,25.102,29.180,41.086,38.776,36.258,34.187,36.875,55.060,38.457,59.166
14,30.422,40.958,33.559,24.603,28.411,38.089,56.460,43.689,44.039,25.883,42.389,37.524,32.665,38.474,38.744,37.793,24.955,25.148,24.977,28.953,41.051,39.004,35.919,34.387,36.572,54.713,38.400,58.533
15,30.603,40.860,33.415,24.757,28.626,37.983,56.047,43.787,43.893,25.910,42.141,37.136,32.695,38.434,38.731,37.646,24.848,25.121,24.943,29.010,41.069,38.497,35.838,34.232,36.495,54.206,37.910,58.630
