 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
1,14.106,15.659,12.202,8.661,9.676,12.201,14.838,14.683,18.070,15.484,10.579,8.268,10.725,11.926,8.612,8.017,11.048,10.051,9.802,11.182,10.295,9.487,9.199
2,16.028,17.740,14.845,9.548,10.553,14.958,15.284,15.744,20.274,16.932,12.450,8.541,12.004,13.681,9.512,8.722,13.110,11.581,10.425,12.108,10.506,10.776,10.278
3,15.308,16.964,14.856,9.497,10.545,14.827,13.481,14.437,18.406,15.759,12.408,8.310,11.765,13.571,9.557,8.711,13.130,11.352,9.946,11.468,9.896,10.684,10.145
4,14.972,16.591,14.690,9.484,10.557,14.685,12.885,13.751,17.549,15.342,12.392,8.257,11.776,13.462,9.526,8.677,12.992,11.593,9.837,11.245,9.583,10.682,10.105
5,14.840,16.355,14.785,9.475,10.470,14.737,12.561,13.441,16.968,15.015,12.279,8.170,11.635,13.419,9.496,8.736,13.017,11.419,9.644,11.111,9.448,10.739,9.974
6,14.714,16.298,14.742,9.523,10.542,14.785,12.414,13.407,16.679,15.015,12.339,8.121,11.702,13.429,9.520,8.705,13.067,11.561,9.583,11.229,9.466,10.750,9.982
7,14.666,16.268,14.787,9.469,10.399,14.830,12.327,13.093,16.579,14.879,12.387,8.200,11.682,13.419,9.474,8.677,13.162,11.544,9.612,11.204,9.346,10.666,9.998
8,14.633,16.321,14.764,9.445,10.356,14.803,12.269,13.222,16.434,14.973,12.339,8.180,11.710,13.462,9.528,8.764,13.099,11.476,9.605,11.150,9.355,10.737,9.956
9,14.596,16.240,14.656,9.446,10.486,14.875,12.190,13.200,16.362,14.903,12.347,8.159,11.580,13.402,9.494,8.657,13.114,11.485,9.481,11.054,9.306,10.695,9.902
10,14.613,16.262,14.669,9.487,10.411,14.789,12.259,13.173,16.294,14.820,12.279,8.117,11.722,13.493,9.453,8.697,13.107,11.574,9.484,11.105,9.366,10.758,9.953
11,14.538,16.282,14.753,9.429,10.462,14.772,12.162,13.215,16.285,14.896,12.339,8.132,11.757,13.379,9.502,8.669,13.130,11.502,9.533,11.083,9.366,10.663,9.877
12,14.615,16.234,14.662,9.416,10.502,14.661,12.197,13.115,16.302,14.844,12.276,8.127,11.718,13.531,9.480,8.652,13.097,11.630,9.506,11.127,9.388,10.768,9.931
13,14.497,16.300,14.731,9.451,10.439,14.751,12.172,13.234,16.317,14.710,12.213,8.223,11.502,13.402,9.535,8.733,13.088,11.476,9.491,11.121,9.359,10.787,9.843
14,14.547,16.315,14.768,9.438,10.577,14.737,12.195,13.198,16.157,14.844,12.208,8.163,11.588,13.407,9.417,8.758,13.067,11.481,9.499,11.067,9.404,10.726,9.908
15,14.675,16.258,14.755,9.415,10.506,14.709,12.314,13.163,16.230,14.814,12.663,8.151,11.592,13.469,9.587,8.677,13.029,11.534,9.516,10.965,9.364,10.661,10.008
16,14.622,16.141,14.871,9.452,10.514,14.772,12.185,13.107,16.130,14.820,12.958,8.146,11.749,13.240,9.579,8.683,13.124,11.470,9.958,11.159,9.337,10.724,9.925
17,14.587,16.244,14.836,9.473,10.443,14.827,12.112,13.098,16.306,14.915,12.695,8.138,11.784,13.345,9.587,8.680,13.137,11.588,10.454,11.124,9.379,10.732,9.997
18,14.639,16.151,14.849,9.404,10.514,14.834,12.195,13.120,16.106,14.829,12.553,8.157,11.678,13.402,9.439,8.697,13.160,11.527,10.699,11.105,9.397,10.795,9.882
19,14.587,16.264,14.714,9.462,10.538,14.713,12.050,13.273,16.262,14.734,12.505,8.138,11.620,13.333,9.453,8.722,13.118,11.524,10.390,11.118,9.308,10.666,9.936
20,14.448,16.198,14.781,9.485,10.340,14.813,12.207,13.276,16.311,14.915,12.468,8.157,11.690,13.440,9.508,8.702,13.019,11.572,10.035,11.003,9.377,10.695,9.897
21,14.561,16.242,14.753,9.424,10.379,14.682,12.207,13.237,16.221,15.034,12.421,8.100,11.816,13.443,9.441,8.711,13.154,11.545,9.810,11.124,9.302,10.679,9.936
22,14.514,16.089,14.723,9.382,10.486,14.796,12.242,13.029,16.068,14.770,12.368,8.132,11.635,13.383,9.455,8.669,13.114,11.434,9.798,11.080,9.366,10.808,9.802
23,14.532,16.234,14.690,9.366,10.439,14.664,12.204,13.037,16.234,14.958,12.434,8.117,11.608,13.429,9.423,8.739,13.126,11.438,9.593,10.914,9.286,10.695,9.851
24,14.578,16.260,14.721,9.397,10.486,14.792,12.100,13.012,16.326,14.924,12.311,8.197,11.616,13.231,9.443,8.612,13.070,11.505,9.565,10.987,9.310,10.621,9.873
25,14.475,16.242,14.798,9.392,10.344,14.754,12.067,13.207,16.200,14.890,12.313,8.130,11.671,13.374,9.486,8.680,13.190,11.513,9.523,11.115,9.290,10.711,9.892
