 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27
1,16.630,15.790,16.305,12.285,13.169,12.002,19.168,12.051,12.819,14.371,12.735,14.900,12.434,12.219,13.015,11.323,15.137,13.849,15.033,15.773,12.335,19.049,12.556,11.584,10.417,12.687,12.136
2,18.540,17.724,17.758,13.210,14.389,12.400,21.791,12.917,13.975,15.931,13.722,16.824,13.664,12.959,14.221,12.031,16.469,14.763,16.063,17.605,12.592,21.584,13.482,12.004,10.762,12.629,13.051
3,18.556,17.650,17.490,13.169,14.458,12.283,21.976,12.928,13.979,15.892,13.587,16.715,13.546,13.204,14.234,12.007,16.437,14.566,15.740,17.447,12.459,21.626,13.475,12.143,10.799,12.112,13.015
4,18.504,17.548,17.611,13.084,14.477,12.063,22.014,12.917,14.119,15.759,13.726,16.688,13.559,13.087,14.113,11.940,16.484,14.418,15.646,17.531,12.224,21.746,13.504,12.215,10.853,11.993,12.897
5,18.623,17.638,17.599,13.178,14.277,12.059,21.834,12.858,13.951,15.867,13.565,16.594,13.434,13.097,14.171,12.141,16.449,14.277,15.400,17.540,12.206,21.682,13.436,12.163,10.784,11.996,12.859
6,18.575,17.593,17.548,13.123,14.318,11.939,21.951,12.796,14.004,15.706,13.677,16.597,13.454,13.148,14.132,11.974,16.510,14.280,15.480,17.476,12.012,21.737,13.491,12.153,10.833,11.835,12.985
7,18.508,17.626,17.452,13.091,14.304,12.016,22.046,12.906,14.132,15.808,13.520,16.742,13.691,13.179,14.143,11.964,16.373,14.289,15.304,17.605,11.966,21.704,13.418,12.111,10.801,11.928,12.969
8,18.437,17.584,17.314,13.118,14.385,12.030,21.772,12.869,13.893,15.845,13.731,16.479,13.763,13.005,14.203,12.014,16.472,14.332,15.311,17.510,12.059,21.644,13.459,12.074,10.725,11.885,12.931
9,18.502,17.529,17.631,13.184,14.257,11.967,21.772,12.912,13.848,15.759,13.677,16.491,13.579,13.260,14.097,11.990,16.312,14.440,15.222,17.338,12.099,21.377,13.394,12.080,10.846,12.036,12.882
10,18.506,17.519,17.510,13.091,14.345,12.009,21.707,12.890,14.000,15.810,13.596,16.542,13.559,13.102,13.991,12.067,16.633,14.249,15.279,17.454,12.040,21.474,13.463,12.135,10.826,11.906,12.923
11,18.429,17.553,17.476,13.123,14.305,12.017,21.859,12.928,13.979,15.792,13.587,16.518,13.546,13.184,14.130,11.959,16.344,14.178,15.243,17.553,12.095,21.617,13.390,12.197,10.772,12.025,12.879
12,18.490,17.488,17.395,12.970,14.296,11.914,21.946,12.788,13.947,15.739,13.543,16.491,13.704,13.133,14.043,11.892,16.385,14.280,15.177,17.501,12.097,21.693,13.527,12.191,10.794,11.871,12.938
13,18.544,17.481,17.360,13.125,14.253,11.998,21.815,12.812,13.967,15.803,13.834,16.606,13.737,13.138,14.089,12.019,16.303,14.342,15.218,17.478,11.980,21.539,13.468,12.185,10.819,11.917,12.892
14,18.425,17.529,17.585,13.114,14.320,11.913,21.821,12.743,13.967,15.801,13.543,16.409,13.553,13.097,14.128,11.921,16.359,14.243,15.195,17.587,12.065,21.490,13.509,12.241,10.873,11.964,13.005
15,18.523,17.462,17.504,13.080,14.343,11.976,21.883,12.912,13.942,15.940,13.776,16.648,13.651,13.153,14.234,11.849,16.289,14.326,15.168,17.540,11.988,21.572,13.541,12.157,10.772,11.935,13.044
16,18.358,17.526,17.646,13.178,14.371,11.914,22.033,12.796,13.877,15.715,13.731,16.527,13.474,13.112,14.041,11.900,16.362,14.277,15.185,17.510,12.018,21.514,13.592,12.082,10.777,12.018,12.951
17,18.504,17.345,17.259,13.144,14.354,11.921,21.777,12.820,14.058,15.892,13.641,16.470,13.572,13.296,14.126,12.062,16.443,14.111,15.160,17.528,12.097,21.637,13.591,12.054,10.784,11.906,12.831
18,18.623,17.543,17.403,13.118,14.413,11.925,21.715,12.794,13.967,15.751,13.507,16.558,13.717,13.102,14.084,11.993,16.353,14.114,15.217,17.376,12.002,21.528,13.388,12.167,10.806,11.928,12.867
19,18.427,17.517,17.259,12.982,14.317,11.962,21.823,12.901,13.955,15.786,13.700,16.509,13.572,13.199,14.169,11.950,16.536,14.308,15.212,17.397,11.992,21.363,13.468,12.155,10.792,11.899,12.803
20,18.335,17.390,17.265,13.052,14.302,11.969,21.715,12.791,14.091,15.773,13.650,16.661,13.691,13.128,14.082,11.981,16.300,14.360,15.105,17.537,12.042,21.601,13.419,12.030,10.779,11.968,12.823
21,18.433,17.422,17.389,13.027,14.365,11.895,21.728,12.861,13.942,15.806,13.632,16.552,13.533,13.061,14.093,11.974,16.312,14.406,15.192,17.442,12.069,21.441,13.536,12.076,10.814,11.799,12.944
22,18.349,17.366,17.496,13.073,14.343,11.956,21.731,12.767,13.963,15.695,13.547,16.555,13.474,13.046,14.190,12.007,16.376,14.163,15.135,17.383,12.065,21.633,13.412,11.996,10.836,11.914,12.872
23,18.236,17.545,17.228,12.929,14.343,11.942,21.698,12.807,13.848,15.819,13.650,16.491,13.454,13.112,14.134,11.923,16.329,14.126,15.155,17.304,12.109,21.408,13.466,12.117,10.752,11.863,12.931
